step,reward
1000,-100.0
2000,-298.6
3000,-172.95652173913044
4000,-296.8333333333333
5000,-197.23076923076923
6000,-149.8
7000,-229.0
8000,-228.8181818181818
9000,-258.0
10000,-211.0
11000,-802.6666666666666
12000,-164.22222222222223
13000,-896.4
14000,-157.55555555555554
15000,-228.0
16000,-96.0
17000,-146.30769230769232
18000,-4076.0
19000,-214.57142857142858
20000,-220.9090909090909
21000,-142.92307692307693
22000,-158.7826086956522
23000,-126.16666666666667
24000,-151.63636363636363
25000,-3486.0
26000,-146.43478260869566
27000,-68.25
28000,-110.12903225806451
29000,-120.0
30000,-129.86666666666667
31000,-150.0
32000,-108.78571428571429
33000,-105.54545454545455
34000,-334.6666666666667
35000,-93.85185185185185
36000,-93.84615384615384
37000,-110.23076923076923
38000,-85.44
39000,-84.0
40000,-2834.0
41000,-89.03448275862068
42000,-137.6
43000,-32.0
44000,-85.63636363636364
45000,-110.8
46000,-85.41935483870968
47000,-83.0
48000,-83.09677419354838
49000,-69.43589743589743
50000,-67.5
51000,-42.0
52000,-52.2
53000,-39.0
54000,-57.0
55000,-58.75
56000,-51.733333333333334
57000,-69.63157894736842
58000,-47.23809523809524
59000,-71.4
60000,-56.142857142857146
61000,-51.18181818181818
62000,-52.68292682926829
63000,-50.355555555555554
64000,-40.10526315789474
65000,-48.68181818181818
66000,-45.191489361702125
67000,-60.35
68000,-44.375
69000,-110.66666666666667
70000,-37.111111111111114
71000,-35.345454545454544
72000,-44.74418604651163
73000,-39.55555555555556
74000,-33.04761904761905
75000,-37.166666666666664
76000,-73.65217391304348
77000,-35.875
78000,-35.53191489361702
79000,-39.743589743589745
80000,-34.35294117647059
81000,-27.545454545454547
82000,-42.87179487179487
83000,-72.0
84000,-27.345454545454544
85000,-29.148936170212767
86000,-28.391304347826086
87000,-22.620689655172413
88000,-23.894736842105264
89000,-26.94736842105263
90000,-22.458333333333332
91000,-22.82608695652174
92000,-24.54901960784314
93000,-19.923076923076923
94000,-17.75
95000,-22.081632653061224
96000,-27.166666666666668
97000,-34.6
98000,-18.666666666666668
99000,-18.26923076923077
100000,-19.434782608695652
101000,-24.333333333333332
102000,-22.127659574468087
103000,-24.952380952380953
104000,-15.551020408163266
105000,-16.127659574468087
106000,-24.0
107000,-16.829268292682926
108000,-17.0625
109000,-20.666666666666668
110000,-12.1
111000,-13.05
112000,-15.317073170731707
113000,-15.777777777777779
114000,-14.651162790697674
115000,-12.80952380952381
116000,-11.255813953488373
117000,-12.2
118000,-11.68421052631579
119000,-10.651162790697674
120000,-10.45
121000,-1.4
122000,-105.11111111111111
123000,-7.636363636363637
124000,-22.0
125000,-10.545454545454545
126000,-10.625
127000,-9.875
128000,-7.578947368421052
129000,-15.161290322580646
130000,-808.0
131000,-6.324324324324325
132000,-5.2
133000,-6.315789473684211
134000,-2.7222222222222223
135000,-0.8421052631578947
136000,-31.25
137000,-8.17142857142857
138000,-2.2962962962962963
139000,-2.413793103448276
140000,-1.0
141000,-2.875
142000,-10.0
143000,5.2
144000,2.0
145000,-1.0
146000,-4.933333333333334
147000,-3.25
148000,6.357142857142857
149000,-6.571428571428571
150000,5.0
151000,0.7692307692307693
152000,3.4545454545454546
153000,-4.0
154000,-2.4705882352941178
155000,11.8
156000,5.0
157000,7.304347826086956
158000,20.142857142857142
159000,0.19047619047619047
160000,18.166666666666668
161000,9.6
162000,-9.882352941176471
163000,13.181818181818182
164000,20.857142857142858
165000,15.222222222222221
166000,21.666666666666668
167000,-1.6666666666666667
168000,-4.0
169000,13.384615384615385
170000,13.6
171000,9.2
172000,45.0
173000,-12.0
174000,23.875
175000,-374.0
176000,24.307692307692307
177000,-294.0
178000,-12.2
179000,5.538461538461538
180000,32.0
181000,2.75
182000,18.0
183000,39.5
184000,45.333333333333336
185000,14.285714285714286
186000,24.2
187000,17.8
188000,40.0
189000,22.545454545454547
190000,19.285714285714285
191000,11.5
192000,28.0
193000,40.0
194000,35.84615384615385
195000,50.0
196000,-130.0
197000,30.571428571428573
198000,33.5
199000,-94.0
200000,-146.0
201000,56.75
202000,106.0
203000,55.333333333333336
204000,150.0
205000,117.0
206000,86.0
207000,317.0
208000,63.333333333333336
209000,97.0
210000,67.33333333333333
211000,38.0
212000,118.0
213000,698.0
214000,119.0
215000,129.0
216000,90.0
217000,117.33333333333333
218000,151.0
219000,71.66666666666667
220000,320.0
221000,110.0
222000,149.33333333333334
223000,97.42857142857143
224000,28.0
225000,80.0
226000,84.5
227000,682.0
228000,98.0
229000,672.0
230000,200.0
231000,183.33333333333334
232000,-66.0
233000,204.0
234000,249.0
235000,772.0
236000,140.66666666666666
237000,90.0
238000,278.0
239000,580.0
240000,397.0
241000,580.0
242000,179.33333333333334
243000,415.0
244000,22.0
245000,249.33333333333334
246000,566.0
247000,1052.0
248000,63.0
249000,322.0
250000,84.0
251000,120.0
252000,658.0
253000,940.0
254000,225.0
255000,380.0
256000,231.0
257000,284.0
258000,950.0
259000,388.0
260000,936.0
261000,1092.0
262000,632.0
263000,926.0
264000,368.0
265000,422.0
266000,784.0
267000,1122.0
268000,476.0
269000,222.0
270000,140.0
271000,946.0
272000,642.0
273000,28.0
274000,1034.0
275000,966.0
276000,456.0
277000,1080.0
278000,1004.0
279000,120.0
280000,1134.0
281000,772.0
282000,284.0
283000,860.0
284000,1100.0
285000,664.0
286000,1094.0
287000,412.0
288000,138.0
289000,1070.0
290000,1146.0
291000,256.0
292000,1122.0
293000,494.0
294000,110.0
295000,814.0
296000,1270.0
297000,180.0
298000,1162.0
299000,1264.0
300000,1154.0
301000,1324.0
302000,1146.0
303000,1110.0
304000,1136.0
305000,1192.0
306000,810.0
307000,1214.0
308000,1346.0
309000,1356.0
310000,1222.0
311000,1284.0
312000,670.0
313000,1384.0
314000,1336.0
315000,1162.0
316000,752.0
317000,1304.0
318000,1286.0
319000,1366.0
320000,1064.0
321000,300.0
322000,1280.0
323000,1160.0
324000,476.0
325000,760.0
326000,500.0
327000,1424.0
328000,1414.0
329000,892.0
330000,1320.0
331000,1444.0
332000,1224.0
333000,312.0
334000,1416.0
335000,1464.0
336000,1336.0
337000,754.0
338000,1384.0
339000,812.0
340000,482.0
341000,1336.0
342000,1390.0
343000,472.0
344000,1214.0
345000,1480.0
346000,1288.0
347000,816.0
348000,1254.0
349000,1308.0
350000,1336.0
351000,560.0
352000,1390.0
353000,1414.0
354000,218.0
355000,626.0
356000,1292.0
357000,1460.0
358000,1144.0
359000,1500.0
360000,214.0
361000,1378.0
362000,1296.0
363000,1340.0
364000,1370.0
365000,350.0
366000,1520.0
367000,1528.0
368000,46.0
369000,1414.0
370000,848.0
371000,800.0
372000,1570.0
373000,1624.0
374000,1334.0
375000,1416.0
376000,300.0
377000,1360.0
378000,1460.0
379000,1500.0
380000,1352.0
381000,1376.0
382000,1512.0
383000,1388.0
384000,1420.0
385000,1422.0
386000,1252.0
387000,1316.0
388000,1620.0
389000,1338.0
390000,416.0
391000,1294.0
392000,48.0
393000,1480.0
394000,1106.0
395000,1342.0
396000,1320.0
397000,-2.0
398000,1350.0
399000,1526.0
400000,998.0
401000,1550.0
402000,1426.0
403000,216.0
404000,1486.0
405000,1538.0
406000,1520.0
407000,1490.0
408000,1510.0
409000,1442.0
410000,1478.0
411000,1442.0
412000,1560.0
413000,1542.0
414000,1546.0
415000,1478.0
416000,1572.0
417000,1424.0
418000,1520.0
419000,1460.0
420000,92.0
421000,1622.0
422000,1450.0
423000,1488.0
424000,1652.0
425000,1590.0
426000,1588.0
427000,1474.0
428000,1474.0
429000,1372.0
430000,1604.0
431000,1488.0
432000,1656.0
433000,1564.0
434000,1624.0
435000,1542.0
436000,1374.0
437000,1588.0
438000,1418.0
439000,126.0
440000,1042.0
441000,1582.0
442000,1608.0
443000,1508.0
444000,96.0
445000,1498.0
446000,1580.0
447000,1186.0
448000,1520.0
449000,1764.0
450000,1762.0
451000,1638.0
452000,1610.0
453000,1598.0
454000,1554.0
455000,1602.0
456000,1548.0
457000,1544.0
458000,1538.0
459000,1634.0
460000,1472.0
461000,1604.0
462000,1712.0
463000,1176.0
464000,1566.0
465000,1630.0
466000,1666.0
467000,1684.0
468000,64.0
469000,1498.0
470000,1556.0
471000,1772.0
472000,1610.0
473000,1248.0
474000,1550.0
475000,1544.0
476000,1522.0
477000,1716.0
478000,1662.0
479000,1626.0
480000,1714.0
481000,1456.0
482000,1622.0
483000,1748.0
484000,1642.0
485000,1668.0
486000,1704.0
487000,1764.0
488000,1388.0
489000,1610.0
490000,1672.0
491000,1784.0
492000,1724.0
493000,400.0
494000,478.0
495000,1616.0
496000,1136.0
497000,1678.0
498000,1252.0
499000,1766.0
500000,1710.0
501000,1206.0
502000,1728.0
503000,1654.0
504000,1618.0
505000,1656.0
506000,1634.0
507000,156.0
508000,1722.0
509000,1638.0
510000,728.0
511000,1522.0
512000,1666.0
513000,1682.0
514000,1706.0
515000,1578.0
516000,1612.0
517000,1696.0
518000,1742.0
519000,1702.0
520000,1748.0
521000,1816.0
522000,1622.0
523000,1604.0
524000,1796.0
525000,1640.0
526000,1766.0
527000,1832.0
528000,1724.0
529000,1666.0
530000,1690.0
531000,1700.0
532000,1646.0
533000,1784.0
534000,1548.0
535000,1802.0
536000,1824.0
537000,1762.0
538000,1498.0
539000,1766.0
540000,1626.0
541000,1748.0
542000,1754.0
543000,1734.0
544000,1708.0
545000,1730.0
546000,104.0
547000,1448.0
548000,410.0
549000,1698.0
550000,1678.0
551000,1664.0
552000,1726.0
553000,1614.0
554000,1738.0
555000,1680.0
556000,1622.0
557000,1754.0
558000,1790.0
559000,286.0
560000,1692.0
561000,1674.0
562000,1732.0
563000,1780.0
564000,1734.0
565000,1758.0
566000,1640.0
567000,1574.0
568000,1736.0
569000,1638.0
570000,1616.0
571000,1748.0
572000,1660.0
573000,1790.0
574000,-8.0
575000,1704.0
576000,1106.0
577000,1776.0
578000,1790.0
579000,1696.0
580000,1724.0
581000,292.0
582000,1042.0
583000,1778.0
584000,1630.0
585000,780.0
586000,1858.0
587000,1792.0
588000,802.0
589000,1874.0
590000,1804.0
591000,1836.0
592000,1758.0
593000,1122.0
594000,1440.0
595000,1746.0
596000,1790.0
597000,1816.0
598000,1794.0
599000,1792.0
600000,1782.0
601000,2.0
602000,1878.0
603000,264.0
604000,1846.0
605000,1642.0
606000,1640.0
607000,1716.0
608000,1776.0
609000,1826.0
610000,1440.0
611000,464.0
612000,1756.0
613000,1694.0
614000,1960.0
615000,1428.0
616000,1844.0
617000,1738.0
618000,1844.0
619000,1832.0
620000,1930.0
621000,1776.0
622000,1780.0
623000,1768.0
624000,1794.0
625000,1688.0
626000,1742.0
627000,1826.0
628000,1672.0
629000,1688.0
630000,1808.0
631000,1808.0
632000,130.0
633000,1852.0
634000,1790.0
635000,1756.0
636000,1792.0
637000,1834.0
638000,1778.0
639000,554.0
640000,1794.0
641000,60.0
642000,1746.0
643000,1836.0
644000,1804.0
645000,1388.0
646000,1802.0
647000,1816.0
648000,1718.0
649000,1868.0
650000,1810.0
651000,1920.0
652000,1866.0
653000,1820.0
654000,1798.0
655000,1832.0
656000,1806.0
657000,1802.0
658000,1844.0
659000,1842.0
660000,1666.0
661000,1992.0
662000,1894.0
663000,1688.0
664000,1428.0
665000,1742.0
666000,1754.0
667000,1886.0
668000,1792.0
669000,1796.0
670000,1776.0
671000,1860.0
672000,1992.0
673000,944.0
674000,1814.0
675000,1888.0
676000,1804.0
677000,1904.0
678000,-38.0
679000,1526.0
680000,1852.0
681000,1940.0
682000,1822.0
683000,1910.0
684000,1910.0
685000,1716.0
686000,1630.0
687000,1888.0
688000,1886.0
689000,1816.0
690000,1868.0
691000,1844.0
692000,1888.0
693000,1930.0
694000,1816.0
695000,1796.0
696000,1298.0
697000,1826.0
698000,1794.0
699000,1992.0
700000,1768.0
701000,1672.0
702000,1926.0
703000,1904.0
704000,1924.0
705000,1980.0
706000,-2.0
707000,1946.0
708000,1934.0
709000,2026.0
710000,1824.0
711000,1826.0
712000,1770.0
713000,1892.0
714000,766.0
715000,1878.0
716000,1472.0
717000,1880.0
718000,1784.0
719000,1972.0
720000,744.0
721000,1812.0
722000,1802.0
723000,1874.0
724000,1964.0
725000,1910.0
726000,1946.0
727000,674.0
728000,1790.0
729000,1752.0
730000,1896.0
731000,1986.0
732000,206.0
733000,1924.0
734000,1856.0
735000,1982.0
736000,1934.0
737000,1830.0
738000,1754.0
739000,1908.0
740000,730.0
741000,1840.0
742000,1722.0
743000,1964.0
744000,1916.0
745000,1942.0
746000,1888.0
747000,1902.0
748000,2036.0
749000,1820.0
750000,1900.0
751000,1964.0
752000,2048.0
753000,1970.0
754000,1776.0
755000,1908.0
756000,1950.0
757000,1938.0
758000,1926.0
759000,2004.0
760000,1814.0
761000,1838.0
762000,1838.0
763000,1898.0
764000,1982.0
765000,1816.0
766000,1996.0
767000,1776.0
768000,960.0
769000,1888.0
770000,1926.0
771000,700.0
772000,1980.0
773000,1952.0
774000,1976.0
775000,1962.0
776000,1906.0
777000,1900.0
778000,552.0
779000,1930.0
780000,510.0
781000,1998.0
782000,1904.0
783000,1998.0
784000,1972.0
785000,1802.0
786000,1974.0
787000,1972.0
788000,1876.0
789000,2008.0
790000,1994.0
791000,1950.0
792000,2016.0
793000,1988.0
794000,1986.0
795000,1908.0
796000,1944.0
797000,1992.0
798000,1876.0
799000,-38.0
800000,1938.0
801000,1864.0
802000,1874.0
803000,2032.0
804000,1892.0
805000,1804.0
806000,1888.0
807000,2042.0
808000,1858.0
809000,1950.0
810000,1852.0
811000,1910.0
812000,528.0
813000,2044.0
814000,738.0
815000,1786.0
816000,1852.0
817000,1990.0
818000,2006.0
819000,1820.0
820000,1894.0
821000,1810.0
822000,1892.0
823000,1924.0
824000,2126.0
825000,1914.0
826000,2062.0
827000,1918.0
828000,1968.0
829000,1914.0
830000,2100.0
831000,1918.0
832000,650.0
833000,2116.0
834000,2050.0
835000,1908.0
836000,198.0
837000,1968.0
838000,1874.0
839000,1982.0
840000,1944.0
841000,1880.0
842000,1986.0
843000,1974.0
844000,2044.0
845000,1870.0
846000,1894.0
847000,2110.0
848000,1942.0
849000,502.0
850000,1958.0
851000,1878.0
852000,1958.0
853000,1954.0
854000,1968.0
855000,2090.0
856000,1920.0
857000,2050.0
858000,2016.0
859000,2016.0
860000,2078.0
861000,1978.0
862000,1918.0
863000,2086.0
864000,1710.0
865000,1888.0
866000,1844.0
867000,1998.0
868000,2150.0
869000,2028.0
870000,2180.0
871000,2038.0
872000,1894.0
873000,2026.0
874000,2064.0
875000,486.0
876000,2004.0
877000,1960.0
878000,1780.0
879000,1982.0
880000,1986.0
881000,884.0
882000,2086.0
883000,1970.0
884000,2088.0
885000,2054.0
886000,1398.0
887000,2012.0
888000,2050.0
889000,1942.0
890000,2024.0
891000,2082.0
892000,1938.0
893000,2034.0
894000,2078.0
895000,1932.0
896000,1978.0
897000,2060.0
898000,1958.0
899000,1290.0
900000,1908.0
901000,1872.0
902000,1888.0
903000,1976.0
904000,2078.0
905000,2076.0
906000,1980.0
907000,1872.0
908000,2154.0
909000,1102.0
910000,2054.0
911000,2074.0
912000,2050.0
913000,914.0
914000,2020.0
915000,2102.0
916000,1918.0
917000,2078.0
918000,2032.0
919000,2042.0
920000,2240.0
921000,1940.0
922000,-32.0
923000,2084.0
924000,2080.0
925000,76.0
926000,2000.0
927000,2006.0
928000,2058.0
929000,2098.0
930000,1996.0
931000,2026.0
932000,2064.0
933000,2124.0
934000,808.0
935000,2056.0
936000,2196.0
937000,1706.0
938000,2234.0
939000,1984.0
940000,1214.0
941000,2030.0
942000,2048.0
943000,2096.0
944000,2092.0
945000,2140.0
946000,2030.0
947000,1996.0
948000,2000.0
949000,1988.0
950000,2004.0
951000,1790.0
952000,2054.0
953000,2060.0
954000,2162.0
955000,1960.0
956000,1838.0
957000,2010.0
958000,1150.0
959000,1842.0
960000,1962.0
961000,2066.0
962000,1996.0
963000,2024.0
964000,2182.0
965000,1988.0
966000,1950.0
967000,1984.0
968000,1406.0
969000,1874.0
970000,552.0
971000,1950.0
972000,2068.0
973000,2046.0
974000,2030.0
975000,2094.0
976000,2020.0
977000,2086.0
978000,1852.0
979000,2224.0
980000,1976.0
981000,1460.0
982000,1972.0
983000,2098.0
984000,1992.0
985000,1826.0
986000,1952.0
987000,2026.0
988000,2000.0
989000,2140.0
990000,1966.0
991000,1952.0
992000,1996.0
993000,1924.0
994000,350.0
995000,2030.0
996000,2028.0
997000,1972.0
998000,2048.0
999000,2070.0
1000000,1116.0
