step,reward
1000,-2044.0
2000,-1992.0
3000,-1932.0
4000,-2002.0
5000,-1948.0
6000,-1986.0
7000,-1838.0
8000,-1874.0
9000,-1942.0
10000,-1730.0
11000,-1822.0
12000,-1730.0
13000,-1654.0
14000,-1570.0
15000,-1730.0
16000,-1732.0
17000,-1662.0
18000,-1656.0
19000,-1510.0
20000,-1610.0
21000,-1630.0
22000,-1596.0
23000,-1604.0
24000,-1580.0
25000,-1706.0
26000,-1578.0
27000,-1672.0
28000,-1564.0
29000,-1464.0
30000,-1644.0
31000,-1448.0
32000,-1488.0
33000,-1542.0
34000,-1408.0
35000,-1426.0
36000,-1474.0
37000,-1570.0
38000,-1604.0
39000,-1492.0
40000,-1386.0
41000,-1310.0
42000,-1496.0
43000,-1488.0
44000,-1418.0
45000,-1414.0
46000,-1300.0
47000,-1328.0
48000,-1370.0
49000,-1370.0
50000,-1240.0
51000,-1438.0
52000,-1328.0
53000,-1302.0
54000,-1388.0
55000,-1360.0
56000,-1308.0
57000,-1280.0
58000,-1258.0
59000,-1272.0
60000,-1306.0
61000,-1190.0
62000,-1266.0
63000,-1264.0
64000,-1196.0
65000,-1230.0
66000,-1186.0
67000,-1136.0
68000,-1248.0
69000,-1196.0
70000,-1184.0
71000,-1268.0
72000,-1180.0
73000,-1116.0
74000,-1184.0
75000,-1154.0
76000,-1208.0
77000,-1080.0
78000,-1076.0
79000,-1160.0
80000,-1032.0
81000,-1174.0
82000,-946.0
83000,-1098.0
84000,-1042.0
85000,-962.0
86000,-1132.0
87000,-1070.0
88000,-1006.0
89000,-1002.0
90000,-954.0
91000,-972.0
92000,-958.0
93000,-968.0
94000,-876.0
95000,-906.0
96000,-948.0
97000,-938.0
98000,-916.0
99000,-888.0
100000,-946.0
101000,-1120.0
102000,-916.0
103000,-828.0
104000,-996.0
105000,-900.0
106000,-822.0
107000,-836.0
108000,-814.0
109000,-816.0
110000,-738.0
111000,-902.0
112000,-834.0
113000,-816.0
114000,-738.0
115000,-778.0
116000,-734.0
117000,-802.0
118000,-690.0
119000,-816.0
120000,-890.0
121000,-622.0
122000,-782.0
123000,-634.0
124000,-724.0
125000,-774.0
126000,-804.0
127000,-756.0
128000,-766.0
129000,-726.0
130000,-674.0
131000,-648.0
132000,-746.0
133000,-962.0
134000,-678.0
135000,-662.0
136000,-670.0
137000,-564.0
138000,-588.0
139000,-652.0
140000,-562.0
141000,-582.0
142000,-638.0
143000,-568.0
144000,-708.0
145000,-682.0
146000,-542.0
147000,-950.0
148000,-638.0
149000,-656.0
150000,-558.0
151000,-646.0
152000,-524.0
153000,-538.0
154000,-508.0
155000,-550.0
156000,-480.0
157000,-512.0
158000,-484.0
159000,-440.0
160000,-478.0
161000,-952.0
162000,-512.0
163000,-600.0
164000,-458.0
165000,-516.0
166000,-530.0
167000,-408.0
168000,-428.0
169000,-366.0
170000,-406.0
171000,-444.0
172000,-436.0
173000,-470.0
174000,-400.0
175000,-390.0
176000,-374.0
177000,-418.0
178000,-374.0
179000,-416.0
180000,-402.0
181000,-326.0
182000,-346.0
183000,-302.0
184000,-260.0
185000,-348.0
186000,-364.0
187000,-322.0
188000,-342.0
189000,-278.0
190000,-262.0
191000,-184.0
192000,-302.0
193000,-260.0
194000,-318.0
195000,-250.0
196000,-216.0
197000,-210.0
198000,-190.0
199000,-232.0
200000,-302.0
201000,-306.0
202000,-198.0
203000,-210.0
204000,-162.0
205000,-160.0
206000,-160.0
207000,-336.0
208000,-118.0
209000,-192.0
210000,-62.0
211000,-66.0
212000,-46.0
213000,-188.0
214000,-84.0
215000,-72.0
216000,-116.0
217000,-116.0
218000,-148.0
219000,-8.0
220000,-2.0
221000,-44.0
222000,-38.0
223000,-26.0
224000,-22.0
225000,42.0
226000,76.0
227000,-34.0
228000,42.0
229000,36.0
230000,6.0
231000,26.0
232000,92.0
233000,118.0
234000,104.0
235000,60.0
236000,116.0
237000,144.0
238000,134.0
239000,88.0
240000,132.0
241000,100.0
242000,154.0
243000,4.0
244000,104.0
245000,112.0
246000,72.0
247000,124.0
248000,62.0
249000,62.0
250000,166.0
251000,194.0
252000,146.0
253000,178.0
254000,124.0
255000,154.0
256000,254.0
257000,178.0
258000,154.0
259000,314.0
260000,224.0
261000,186.0
262000,216.0
263000,230.0
264000,310.0
265000,218.0
266000,208.0
267000,230.0
268000,162.0
269000,218.0
270000,256.0
271000,250.0
272000,240.0
273000,288.0
274000,300.0
275000,62.0
276000,330.0
277000,316.0
278000,110.0
279000,254.0
280000,196.0
281000,298.0
282000,256.0
283000,300.0
284000,392.0
285000,56.0
286000,344.0
287000,198.0
288000,382.0
289000,328.0
290000,358.0
291000,384.0
292000,210.0
293000,330.0
294000,364.0
295000,404.0
296000,246.0
297000,402.0
298000,352.0
299000,402.0
300000,316.0
301000,256.0
302000,108.0
303000,360.0
304000,300.0
305000,376.0
306000,368.0
307000,360.0
308000,394.0
309000,308.0
310000,348.0
311000,370.0
312000,384.0
313000,408.0
314000,404.0
315000,378.0
316000,446.0
317000,318.0
318000,374.0
319000,426.0
320000,418.0
321000,342.0
322000,440.0
323000,436.0
324000,222.0
325000,346.0
326000,484.0
327000,372.0
328000,426.0
329000,394.0
330000,404.0
331000,408.0
332000,420.0
333000,424.0
334000,402.0
335000,386.0
336000,424.0
337000,468.0
338000,410.0
339000,418.0
340000,444.0
341000,406.0
342000,466.0
343000,436.0
344000,526.0
345000,458.0
346000,460.0
347000,442.0
348000,472.0
349000,424.0
350000,344.0
351000,432.0
352000,498.0
353000,510.0
354000,484.0
355000,370.0
356000,516.0
357000,502.0
358000,484.0
359000,568.0
360000,486.0
361000,472.0
362000,482.0
363000,506.0
364000,490.0
365000,580.0
366000,458.0
367000,454.0
368000,500.0
369000,496.0
370000,402.0
371000,436.0
372000,460.0
373000,460.0
374000,408.0
375000,540.0
376000,440.0
377000,518.0
378000,562.0
379000,546.0
380000,474.0
381000,470.0
382000,506.0
383000,460.0
384000,540.0
385000,538.0
386000,438.0
387000,530.0
388000,472.0
389000,532.0
390000,526.0
391000,462.0
392000,548.0
393000,414.0
394000,432.0
395000,472.0
396000,566.0
397000,420.0
398000,532.0
