step,reward
1000,-1714.2791712451572
2000,-1668.5668723727642
3000,-1536.766579168804
4000,-1438.8531933344684
5000,-1373.9826043218125
6000,-1316.7165920411967
7000,-1272.42854787579
8000,-1221.847687843953
9000,-1213.2626025975235
10000,-1189.362210237467
11000,-1123.9892664197464
12000,-1150.1849637330286
13000,-1083.0920867940793
14000,-1057.3271862051265
15000,-1058.0821198539386
16000,-1057.8575693136204
17000,-989.2243396462088
18000,-1012.2034304355768
19000,-946.4407550299695
20000,-965.7114910156416
21000,-943.5084330450322
22000,-899.8176090282103
23000,-926.4285091036785
24000,-865.122540914136
25000,-855.682002585828
26000,-858.4279523221651
27000,-864.7560544515488
28000,-822.0756187401598
29000,-831.3393708571525
30000,-783.6862100246228
31000,-785.1389802397332
32000,-756.1943931003988
33000,-761.1685845309688
34000,-747.8199989365163
35000,-716.1933243000465
36000,-715.4437597075381
37000,-700.6984168572909
38000,-689.3139152586236
39000,-677.8087487172954
40000,-662.2028830365846
41000,-640.9911443349453
42000,-621.0140214169962
43000,-627.7390442492231
44000,-617.3070588369648
45000,-603.5327756605307
46000,-610.5089354404552
47000,-602.4498120425815
48000,-579.8164190257983
49000,-567.3057560393082
50000,-540.3678668214966
51000,-577.9244779565574
52000,-559.9963756162957
53000,-556.8137326688562
54000,-519.7789061042217
55000,-530.8201479547251
56000,-533.1313060965456
57000,-513.1344266980573
58000,-535.8085112185312
59000,-520.1320906820212
60000,-526.8528316105626
61000,-501.50572551714316
62000,-494.4201457383098
63000,-487.1710318466828
64000,-488.41316281126683
65000,-480.47922780344135
66000,-458.1141740741718
67000,-472.47853050277746
68000,-458.46970346088335
69000,-444.6838688791388
70000,-438.9760404727786
71000,-421.5416359100724
72000,-427.5336494492249
73000,-417.997171749181
74000,-402.14794898575144
75000,-390.01061344553887
76000,-392.9103304351878
77000,-366.84956945943185
78000,-369.933105099876
79000,-378.53079344882383
80000,-382.0011944464696
81000,-376.58421482632434
82000,-367.14565985395694
83000,-358.4689127885139
84000,-360.4874005282768
85000,-347.1154263326645
86000,-340.77656942865013
87000,-330.248519046645
88000,-321.97593773342
89000,-315.41525214145946
90000,-318.4360222314796
91000,-313.606823298124
92000,-303.482630022681
93000,-308.3977891714352
94000,-295.14082290822176
95000,-285.92922475439724
96000,-272.1500284873643
97000,-278.1445387812197
98000,-264.6810386051825
99000,-257.2935215884065
100000,-250.23293551630223
101000,-237.68648004760902
102000,-233.57298623921528
103000,-235.4092488109448
104000,-222.06447638578632
105000,-231.18141243742005
106000,-229.11531657278263
107000,-233.60689411207971
108000,-228.70925037287344
109000,-218.25214882306759
110000,-228.83222112545616
111000,-216.9106517243791
112000,-224.14944671630155
113000,-216.90882598060895
114000,-214.03641659136318
115000,-218.63919437829958
116000,-217.96989156152955
117000,-213.47974663155088
118000,-210.45181958476536
119000,-203.69479647011292
120000,-199.66730614518374
121000,-205.63287739534817
122000,-198.74737682703176
123000,-197.03750302598195
124000,-193.7756482494502
125000,-190.79054865220104
126000,-192.40152012422004
127000,-191.16899434236058
128000,-187.33099372155672
129000,-186.21250852716935
130000,-195.82074176721736
131000,-182.1230071307416
132000,-187.66853956048269
133000,-183.0044877988749
134000,-186.07604725885585
135000,-181.12942792694147
136000,-178.08221384986075
137000,-174.55499776493434
138000,-173.63652783578956
139000,-173.36240335581553
140000,-171.52480661585105
141000,-174.04470378746527
142000,-174.02596013032675
143000,-174.47651269619857
144000,-179.03529697142653
145000,-168.65047993467113
146000,-170.61218171882965
147000,-166.03883800349897
148000,-171.71530109281449
149000,-174.9160412205418
150000,-171.55932654521584
151000,-172.04340447357487
152000,-173.0890526585412
153000,-169.33214006317496
154000,-169.31722655467573
155000,-161.18441935779495
156000,-157.73148437707889
157000,-166.39570007292318
158000,-167.38677278114486
159000,-159.29879028748195
160000,-161.17369939042166
161000,-170.11300917179753
162000,-157.43606206920177
163000,-159.26599691047903
164000,-155.03242448845663
165000,-160.10037246018675
166000,-153.4253455767245
167000,-154.05652569072655
168000,-149.09511254546894
169000,-151.35225727636305
170000,-147.41148508351034
171000,-150.72747107956235
172000,-146.83808451854165
173000,-146.72233785575162
174000,-149.05253408390524
175000,-144.1850217139531
176000,-138.6174995919992
177000,-134.59065274753183
178000,-136.1168537480176
179000,-129.28127690105222
180000,-133.53550128336866
181000,-133.30647149423226
182000,-132.62620934627517
183000,-129.35397459883134
184000,-128.50766615928518
185000,-130.8601327620502
186000,-130.3753622700471
187000,-133.57288317753012
188000,-127.49676128317675
189000,-130.43280668269497
190000,-132.61986168976682
191000,-127.46740145479552
192000,-127.7279085250245
193000,-126.8320309789795
194000,-125.76961306354792
195000,-125.18636549004843
196000,-124.88505277964147
197000,-126.55956179926208
198000,-119.52781792276114
199000,-121.37741820742416
200000,-124.42207897925465
201000,-119.47064496137948
202000,-120.96420181469676
203000,-120.2585860868379
204000,-119.68338193578975
