step,reward
1000,-168.37612228882838
2000,-424.6029674519032
3000,-159.17218114268775
4000,-4950.622186080918
5000,-138.59202448070243
6000,-201.24670453872744
7000,-254.32209463887813
8000,-263.7562489994004
9000,-153.56394679419037
10000,-178.5682864752121
11000,-150.31556964073957
12000,-147.99316881383146
13000,-128.31904018900332
14000,-245.30837770124523
15000,-240.6583478028543
16000,-859.5847589536439
17000,-171.56185562701427
18000,-149.3088222845758
19000,-176.5022092692972
20000,-289.24663609704436
21000,-150.833168813018
22000,-135.10201384364916
23000,-174.7021508309492
24000,-142.05536570943988
25000,-132.8947758794768
26000,-3735.977099790159
27000,-158.1347583773624
28000,-146.0271148598955
29000,-172.23663128071314
30000,-119.32022162384179
31000,-3682.443017906896
32000,-123.84780831275627
33000,-141.6841213961009
34000,-133.14343732925602
35000,-140.17167946190574
36000,-84.18144913802311
37000,-3483.3074038190703
38000,-3466.1935326225953
39000,-117.03438323279696
40000,-82.37240164994235
41000,-125.86299352825654
42000,-3450.9897051951925
43000,-93.58136291538737
44000,-99.4398447697122
45000,-113.16107944049003
46000,-104.73554877139661
47000,-80.6432851895087
48000,-89.75084737838712
49000,-109.3341305814202
50000,-133.53994053564887
51000,-115.55461258844831
52000,-103.41637520010761
53000,-89.37244639144029
54000,-134.79732465527903
55000,-72.4440089948214
56000,-120.98705789800137
57000,-87.19645119637146
58000,-90.55629212020895
59000,-107.69649677448488
60000,-77.79708975169385
61000,-96.37558966787634
62000,-128.2872014246658
63000,-133.80448789782824
64000,-111.76745212277878
65000,-91.32547917721318
66000,-127.16808883578153
67000,-108.30993599000679
68000,-152.54870445547817
69000,-96.48572777734427
70000,-97.57464055551752
71000,-95.62432399220056
72000,-130.68242316318347
73000,-118.91652827509026
74000,-100.89991746504914
75000,-100.47399328798778
76000,-85.56117876877464
77000,-161.68389493722225
78000,-118.676145416947
79000,-92.55968776385726
80000,-104.28312680330154
81000,-80.97711456090528
82000,-83.54786106222984
83000,-77.62906515915081
84000,-110.82055125366459
85000,-117.20623197525684
86000,-103.89512030954263
87000,-90.88617341531858
88000,-89.74273969107291
89000,-84.74172400772441
90000,-298.10689044865615
91000,-84.5199031427008
92000,-99.27998054384699
93000,-103.30062746789972
94000,-99.23402302512798
95000,-85.09282023302039
96000,-239.5238995504303
97000,-73.81897858212281
98000,-74.1290675724909
99000,-76.09897852600156
100000,-86.35344514242048
101000,-78.7599104364636
102000,-88.40131270050948
103000,-99.21950851248995
104000,-81.36348306843323
105000,-85.1765119810546
106000,-70.41981125257558
107000,-71.13377718378399
108000,-76.55124653325306
109000,-80.5617002692103
110000,-95.81551517114478
111000,-81.85670559797029
112000,-76.83236679574003
113000,-159.84254485242982
114000,-86.0778027496669
115000,-119.20719827619882
116000,-78.64406711280787
117000,-79.32709812991172
118000,-70.03333261247629
119000,-88.52410084041857
120000,-89.4610663188672
121000,-93.09457939593256
122000,-65.35041628352826
123000,-82.031164397142
124000,-108.1518124395648
125000,-71.0107097834249
126000,-59.850790889772206
127000,-81.69119977881734
128000,-86.58962021476543
129000,-70.97007862821631
130000,-141.93000163039972
131000,-65.070491731572
132000,-79.06856315807404
133000,-62.323170616085555
134000,-3052.089811705469
135000,-67.54326501262123
136000,-215.50570354502472
137000,-62.57588807805844
138000,-67.35858197571636
139000,-64.48383186518983
140000,-109.33710509905903
141000,-63.529196670534084
142000,-76.55975715910773
143000,-69.51644786570755
144000,-67.86572850384987
145000,-76.3627905797681
146000,-65.22312696186765
147000,-78.15006160214558
148000,-187.75536930398707
149000,-179.73870460656954
150000,-56.85186588416136
151000,-64.17562983274848
152000,-63.40649996831318
153000,-92.97538867176931
154000,-56.09373956078773
155000,-63.30049471266786
156000,-67.6815371982539
157000,-56.18752840390637
158000,-71.57778238577505
159000,-115.3835505044061
160000,-67.65595062811262
161000,-99.4512827377409
162000,-66.17378812650038
163000,-73.71903189303114
164000,-74.41052800346338
165000,-110.21587688733705
166000,-59.25526074287418
167000,-67.89090361029473
168000,-58.05408362250373
169000,-56.74968985820289
170000,-78.23343718192719
171000,-64.07391825131188
172000,-61.76827276293127
173000,-100.26194129002084
174000,-61.46614816711391
175000,-69.4216407889145
176000,-59.15473602708506
177000,-67.67916014900213
178000,-57.14659229290213
179000,-58.10789549320194
180000,-53.294664862701694
181000,-54.92297688799476
182000,-53.872104475308255
183000,-135.99838720689405
184000,-58.2461443311192
185000,-53.211585630891015
186000,-58.841693743127514
187000,-57.053807139658076
188000,-99.45994907917856
189000,-59.59662803240125
190000,-61.990808091334344
191000,-49.145015661710836
192000,-79.81587246736623
193000,-56.991351155435744
194000,-66.5212194144986
195000,-57.60803064407195
196000,-55.6822331068632
197000,-54.75665956415916
198000,-55.795003401343294
199000,-49.675348068905116
200000,-51.56764144525362
201000,-60.034457204892675
202000,-53.7643958239849
203000,-60.8424660979559
204000,-57.47505154645197
205000,-47.70891461513499
206000,-66.15201627850972
207000,-56.68622840190855
208000,-55.19821246796573
209000,-55.85499602797254
210000,-59.59157143620886
211000,-43.727428537059325
212000,-61.51090043998641
213000,-57.950576680664
214000,-46.5367881173391
215000,-59.065036958444445
216000,-65.21655095615785
217000,-56.051652134959504
218000,-63.49723410560524
219000,-57.80572748644556
220000,-61.843371197493575
221000,-63.31358212091941
222000,-60.43489146503866
223000,-50.79458247728569
224000,-60.626857998711
225000,-50.56125227968452
226000,-46.919941604743265
227000,-48.43879203668826
228000,-47.84984329449857
229000,-76.94351375055204
230000,-55.89248531762803
231000,-52.37176300789224
232000,-58.22000112508506
233000,-49.236975361636325
234000,-254.01454024217733
235000,-58.31475217679281
236000,-47.02437509958663
237000,-43.01656833599797
238000,-62.01008466042417
239000,-53.32528511831061
240000,-54.65850021292216
241000,-67.7922689604107
242000,-50.95036849544891
243000,-53.15216912502722
244000,-52.92236813066752
245000,-51.10549515206994
246000,-48.02328343028892
247000,-42.86830094952423
248000,-49.216945009552084
249000,-43.39036411397135
250000,-49.29898672106992
251000,-51.54210559552689
252000,-46.357498180803866
253000,-50.597039886429606
254000,-47.06266644183432
255000,-44.24364488473759
256000,-44.321996865322035
257000,-58.787331050931016
258000,-40.73071798196197
259000,-40.62793149367226
260000,-44.36884215181199
261000,-60.99874142391758
262000,-42.93339652985478
263000,-49.14366189178923
264000,-44.84322178583474
265000,-43.084428055555215
266000,-41.91113327324256
267000,-44.37657154792434
268000,-106.8075256186717
269000,-44.750176977418725
270000,-41.780197806447454
271000,-55.102174464919166
272000,-47.617418576967225
273000,-44.14321990889314
274000,-71.05891536573638
275000,-51.375285991715074
276000,-38.02237502555034
277000,-49.59116345914292
278000,-45.97875078986236
279000,-43.082100896722814
280000,-40.35151149918301
281000,-42.085691360872616
282000,-41.899182244578846
283000,-39.29903923713885
284000,-46.03230575814272
285000,-66.23960669828364
286000,-41.67161745824951
287000,-41.55219430082278
288000,-39.95716861456978
289000,-51.42145196504984
290000,-41.58700655579564
291000,-33.84474186327988
292000,-43.73105030158276
293000,-42.90189348148846
294000,-43.640162234198236
295000,-44.16292797756868
296000,-52.15090587589474
297000,-99.00464989624076
298000,-52.03752541689429
299000,-35.870623935481134
300000,-45.76456306276001
301000,-38.09320327526814
302000,-47.139486362286775
303000,-37.74438511222716
304000,-37.37559404549315
305000,-36.81220523991036
306000,-38.03777470279732
307000,-46.59221179654108
308000,-55.71701679564326
309000,-47.50491961270203
310000,-45.53721810143761
311000,-45.69682929971408
312000,-36.93853271839376
313000,-33.49418090529915
314000,-38.370060777123555
315000,-39.90861585431256
316000,-41.73419040402069
317000,-45.1232266221797
318000,-37.63806553621471
319000,-55.06884548352647
320000,-39.24457275437494
321000,-33.45158941762086
322000,-30.54295353434918
323000,-42.30150564998962
324000,-82.9061689264186
325000,-58.094215089248245
326000,-41.51654954304167
327000,-37.58619003795248
328000,-34.55302450189727
329000,-55.63795977332856
330000,-31.08954260242406
331000,-75.78184254657748
332000,-57.616665526169925
333000,-36.01831806223063
334000,-42.92130701894964
335000,-34.860718686223294
336000,-31.339446822131105
337000,-31.796248152523287
338000,-33.139115710265976
339000,-36.34361547596103
340000,-35.190451674304136
341000,-35.63313534718149
342000,-30.35910577267164
343000,-32.418730870485
344000,-40.55229483289412
345000,-27.034162462397237
346000,-30.083585810990694
347000,-33.939541281962484
348000,-55.93865441560294
349000,-42.37998105648007
350000,-31.404477086368356
351000,-33.04031683408293
352000,-28.951269923053186
353000,-31.419493565836017
354000,-33.77068337096303
355000,-29.98982861952427
356000,-34.57607090516083
357000,-33.656093420031816
358000,-40.474114215561464
359000,-32.27583118699268
360000,-37.11392741364926
361000,-26.367299263376655
362000,-28.052158510207317
363000,-30.78386783728473
364000,-32.86502361785405
365000,-29.797113914229346
366000,-28.55051396437359
367000,-31.533815393495985
368000,-26.43430534584682
369000,-208.87428622577562
370000,-30.991772197718838
371000,-58.80764741443851
372000,-26.599298790540104
373000,-29.70040123153369
374000,-27.049958031019475
375000,-30.921242278949258
376000,-32.17704882231767
377000,-32.210058492383574
378000,-28.78243542664795
379000,-30.24708262251638
380000,-35.11420628871878
381000,-26.821486040389743
382000,-24.96180890355036
383000,-31.50411831249063
384000,-26.808372710628735
385000,-24.029046329328185
386000,-24.434004698262175
387000,-29.565622865306306
388000,-30.029719504921513
389000,-28.951300583146065
390000,-24.7028034406887
391000,-35.123848240896024
392000,-26.286472306013998
393000,-25.01717199374014
394000,-29.31087428190084
395000,-26.82845144342836
396000,-28.375690333470196
397000,-26.66495839278047
398000,-25.72231757430797
399000,-37.16844854551516
400000,-20.90339147577385
401000,-24.67398501953181
402000,-27.254293822822778
403000,-29.22890596568226
404000,-21.876619170246535
405000,-22.12103329955384
406000,-34.710154811593036
407000,-29.2987870459428
408000,-28.753947540489566
409000,-25.780702165155844
410000,-22.123713255622047
411000,-31.250506427420515
412000,-25.981423845280876
413000,-25.27651160805727
414000,-27.38627080625915
415000,-134.85394531122765
416000,-25.37923026364246
417000,-19.066416658921636
418000,-20.961984647986142
419000,-17.875827632205088
420000,-28.142434537425974
421000,-21.669395968540492
422000,-24.32712177775172
423000,-27.796245128617816
424000,-22.00832896552209
425000,-31.147009337475343
426000,-24.03955136392629
427000,-27.301772681526028
428000,-19.743030593546113
429000,-21.974924772414415
430000,-22.712263701379594
431000,-18.713625948949687
432000,-25.349573318898322
433000,-22.58991972785824
434000,-27.21096986424759
435000,-34.04337989130383
436000,-25.585320183245813
437000,-18.458097115771917
438000,-22.72779238804665
439000,-22.46081567884847
440000,-22.715317812252138
441000,-22.567924033616322
442000,-19.90078697773396
443000,-60.72743541973889
444000,-20.685959314571708
445000,-23.451925610454882
446000,-21.48534303873145
447000,-23.119464240446966
448000,-21.35121685112279
449000,-13.040092981846412
450000,-18.063061172724954
451000,-18.671935614487982
452000,-16.188658406967395
453000,-18.23599861851908
454000,-19.704828150126957
455000,-27.296745903636303
456000,-20.18772044978076
457000,-22.4440236985335
458000,-17.57188253710799
459000,-19.2781397296503
460000,-22.3636766719561
461000,-53.573021442372216
462000,-24.44509837625402
463000,-18.77289959193648
464000,-17.651305752907827
465000,-22.257701004449252
466000,-20.635345972075232
467000,-17.072224938786878
468000,-14.249740423676117
469000,-16.339686978610896
470000,-20.24957939626023
471000,-12.805977463722842
472000,-15.547601819176098
473000,-16.78177235053132
474000,-14.566402210144915
475000,-20.35923022145761
476000,-19.31899161209657
477000,-17.663441242870146
