step,reward
1000,-1120.4466863421544
2000,-1017.9548798338194
3000,-1155.3692800003603
4000,-1007.4000792991171
5000,-963.4978893883003
6000,-932.4509277817638
7000,-986.1115991266291
8000,-871.9975839580298
9000,-924.345658566827
10000,-875.8207075852685
11000,-1010.6226222949257
12000,-873.7413046732962
13000,-917.3035055519349
14000,-807.105615086594
15000,-746.0424000504713
16000,-788.1514445485648
17000,-754.1805978102963
18000,-914.186425517543
19000,-786.0103755588408
20000,-762.8798462609707
21000,-742.0820482577946
22000,-753.1014193795419
23000,-877.7026694699367
24000,-782.6621931689542
25000,-824.1631432727946
26000,-799.4760857950132
27000,-699.362553556141
28000,-689.7964745374538
29000,-895.7561275959694
30000,-722.7690319841595
31000,-686.2056892325544
32000,-632.3298121690151
33000,-511.3816253037581
34000,-690.1014231841409
35000,-692.2318620720063
36000,-634.8750356094981
37000,-594.7273354755004
38000,-640.5244470297974
39000,-622.5570814555349
40000,-669.3728216176804
41000,-700.9503322196646
42000,-606.1422211739907
43000,-658.716456807994
44000,-657.4451951128505
45000,-660.8928727236374
46000,-655.5387487903031
47000,-662.30789954616
48000,-660.0390015190484
49000,-631.0835804709297
50000,-511.66228869566487
51000,-505.4948569007304
52000,-609.1515391284456
53000,-673.2587012123594
54000,-442.4957196125728
55000,-679.2368810332534
56000,-639.8532057857763
57000,-617.1221322035178
58000,-574.0233340822361
59000,-621.7337582969501
60000,-565.3236547384413
61000,-596.1473953803724
62000,-525.8998787317023
63000,-521.733297812122
64000,-599.0130967686039
65000,-524.3365178246582
66000,-585.5166868791954
67000,-549.2152347417644
68000,-595.4522473320465
69000,-650.760014334476
70000,-460.29255425469233
71000,-450.39956836365445
72000,-516.5159089157494
73000,-532.0753540025992
74000,-514.5041009801284
75000,-510.0671285548805
76000,-526.2365953603544
77000,-587.3012673702472
78000,-460.83702481688766
79000,-532.4476283790848
80000,-573.834668701618
81000,-615.1880970821296
82000,-570.4972489254393
83000,-479.8044598881376
84000,-626.1452233747657
85000,-602.5124647460357
86000,-489.9167368570775
87000,-472.15356882210875
88000,-521.3341511939733
89000,-532.9616170116384
90000,-572.8409810898117
91000,-426.3002623133013
92000,-526.5115982474257
93000,-409.08621037187544
94000,-488.5063775699426
95000,-554.4724375794973
