step,reward
1000,-1698.9221908090287
2000,-1565.9226361575647
3000,-1468.291049333618
4000,-1398.5358746887414
5000,-1322.0436653105064
6000,-1292.340224198184
7000,-1281.9408204012918
8000,-1233.0639112173635
9000,-1235.7311301158684
10000,-1182.0647998746833
11000,-1171.8756253327315
12000,-1190.585219350717
13000,-1145.2499108728675
14000,-1172.240953745561
15000,-1141.367221383164
16000,-1120.0457792495206
17000,-1166.5343313964734
18000,-1091.6800917980188
19000,-1099.1040829022056
20000,-1074.164444188708
21000,-1073.3225344717596
22000,-1054.302146423587
23000,-1083.0498834844705
24000,-1039.143870124753
25000,-1038.814686161215
26000,-1018.4599276534072
27000,-1021.4215426111996
28000,-1008.7552809032833
29000,-1050.8246232582435
30000,-1014.8796085371123
31000,-975.2974860237312
32000,-996.3755408649486
33000,-982.8623235619881
34000,-969.4558890384693
35000,-971.6055523572036
36000,-966.4691343360269
37000,-955.2605770620404
38000,-955.8772094480881
39000,-971.0229905609673
40000,-938.2989409413399
41000,-942.5217097125224
42000,-934.0087332378936
43000,-936.3606613977806
44000,-918.7375297731463
45000,-901.4406022794021
46000,-902.3575673773606
47000,-895.9394195716334
48000,-880.2482545236893
49000,-877.8837289961751
50000,-867.9486488991801
51000,-867.8633518851976
52000,-888.386223956016
53000,-867.5711896145611
54000,-861.7120094890806
55000,-818.282118582523
56000,-829.8401552682307
57000,-820.28164192669
58000,-837.4025287335862
59000,-855.6745035145509
60000,-824.9891601962192
61000,-813.1666997709505
62000,-803.3666582332913
63000,-797.2187051923532
64000,-822.8382642474994
65000,-792.0092432901423
66000,-774.9313286942313
67000,-810.8105768161884
68000,-780.4242494073352
69000,-775.3656903767982
70000,-787.4305939465304
71000,-765.2795430060045
72000,-777.5183359599615
73000,-760.0493035056227
74000,-752.1215828355201
75000,-750.6232311682357
76000,-757.2062560561317
77000,-739.6008999297464
78000,-752.3297540715871
79000,-735.923683819039
80000,-728.9637490483291
81000,-708.0273302998481
82000,-723.6863726022285
83000,-715.6230096363554
84000,-724.6949486821892
85000,-706.9448415127806
86000,-720.8103334512463
87000,-701.0819293600134
88000,-696.9879746167622
89000,-700.8583636420736
90000,-691.5475836758399
91000,-694.9948567015875
92000,-693.4433746700488
93000,-687.8193469088312
94000,-689.4984395649199
95000,-681.473312994425
96000,-675.5338637964873
97000,-681.5186265799381
98000,-667.3059635880994
99000,-667.665210722745
100000,-648.3084663941731
101000,-665.9004810308386
102000,-675.8151780670819
103000,-650.2214964887114
104000,-656.0895261255812
105000,-644.8111743426858
106000,-639.5405261708532
107000,-625.6912794800747
108000,-621.6326844154382
109000,-641.5214208552654
110000,-636.293711520444
111000,-628.2396080401927
112000,-628.5601683090207
113000,-617.3229266218552
114000,-615.6472141993451
115000,-632.0874942916826
116000,-601.3261866084288
117000,-606.5145924830185
118000,-600.5601688799602
119000,-602.8138189509889
120000,-592.917801951282
121000,-586.8577080275795
122000,-617.2012364004192
123000,-601.0993753941196
124000,-572.5892224864505
125000,-581.1012801976318
126000,-573.7864847919265
127000,-569.4318540707953
128000,-566.0216740028415
129000,-575.1740873541794
130000,-559.1460448199308
131000,-571.9343223828387
132000,-581.5508422706023
133000,-564.0556441677458
134000,-564.2511085251206
135000,-563.3206653466534
136000,-558.9734910623166
137000,-565.3039455054677
138000,-554.3353594699677
139000,-553.1900328595964
140000,-535.0884065726136
141000,-538.06731270026
142000,-547.8548811263968
143000,-531.4059890120252
144000,-532.1750292090185
145000,-526.1427881451535
146000,-525.3040002345823
147000,-523.8154261687823
148000,-541.9006758204034
149000,-516.238776631109
150000,-509.62364291943777
151000,-510.96425550663616
152000,-526.7571960555551
153000,-514.8035127827711
154000,-524.3426068744044
155000,-527.5491305365003
156000,-510.7223896775339
157000,-519.9971551762075
158000,-502.66264495033147
159000,-489.32300783918834
160000,-515.7486572166068
161000,-500.33849178656766
162000,-505.1857203990196
163000,-500.6949598532977
164000,-483.3640851805067
165000,-476.6848831598609
166000,-472.22603304116114
167000,-488.77446550064764
168000,-472.4747108743095
169000,-461.9061679491141
170000,-479.45242115688416
171000,-460.56402859724886
172000,-478.1296786662849
173000,-470.2778112954743
174000,-470.53149466957416
175000,-464.6590006108433
176000,-461.50266888209075
177000,-462.8616750006257
178000,-470.6445079799119
179000,-461.98300062150054
180000,-456.9164860030257
181000,-459.2232173590848
182000,-438.8389032969921
183000,-448.01233840990216
184000,-436.9194373982922
185000,-437.5135965961172
186000,-441.6755066135008
187000,-435.20925008932085
188000,-429.76050447735713
189000,-435.9608280900126
190000,-433.0393321871626
191000,-426.181320036417
192000,-431.6209187962998
193000,-430.6610741615209
194000,-412.80424268501594
195000,-421.18899311889487
196000,-413.3496695491712
197000,-421.1833956214267
198000,-420.58920820266997
199000,-415.2116097669874
200000,-412.2225131924837
201000,-403.0131953974174
202000,-400.65728667894126
203000,-411.2675841126583
204000,-400.72133109007876
205000,-401.30336157102016
206000,-407.32569865045593
207000,-407.6326617112002
208000,-404.0054000291803
209000,-407.5136106483064
210000,-405.3959423851657
211000,-406.7918024043956
212000,-396.7375086669244
213000,-386.84831026771786
214000,-394.20678224411097
215000,-393.47507745046516
216000,-399.8611045628851
217000,-383.66205228972143
218000,-383.9874306328151
219000,-397.3307136411726
220000,-383.71361125595877
221000,-387.55671649992223
222000,-378.1101983190492
223000,-387.98162121941556
