step,reward
1000,-908.8867816841417
2000,-1007.4734310016065
3000,-780.7300340701312
4000,-877.2114476624906
5000,-822.429513155466
6000,-802.2125262362191
7000,-744.10322400586
8000,-722.2021185739347
9000,-823.8003908227867
10000,-847.5335321456818
11000,-776.7770350031527
12000,-796.4469353851396
13000,-672.219284709048
14000,-738.8701348764959
15000,-698.7008376009072
16000,-671.5226579302193
17000,-659.7687927008353
18000,-631.3181433469373
19000,-709.8601754888904
20000,-708.7619178653459
21000,-725.535561109698
22000,-636.7019799990135
23000,-692.2080461178371
24000,-614.0809656120413
25000,-588.4421189107535
26000,-718.1216735282125
27000,-647.808630950356
28000,-633.5763182922897
29000,-717.4103421229191
30000,-632.1154542374087
31000,-523.733689673859
32000,-682.431264385628
33000,-655.1853249413933
34000,-713.067638217475
35000,-746.3342597815246
36000,-718.442351430519
37000,-671.3490216901674
38000,-679.0459062038115
39000,-674.9084958395769
40000,-497.4671417010397
41000,-642.1791655554327
42000,-626.1425444465826
43000,-743.9745857158663
44000,-579.7484519341026
45000,-763.4785741964071
46000,-641.8828194588419
47000,-541.3022153835578
48000,-643.9646943247632
49000,-639.9708475128004
50000,-493.07276027883375
51000,-652.5340784564969
52000,-600.8357105785968
53000,-579.3094326988015
54000,-688.7173349592889
55000,-626.0587474738306
56000,-542.3944958909528
57000,-569.8292829148457
58000,-628.6668480448908
59000,-593.4557263932935
60000,-670.4834273288317
61000,-568.4191217067596
62000,-549.7931089186677
63000,-477.8419971491675
64000,-537.6434922142464
65000,-583.3786345008203
66000,-604.3439829912005
67000,-494.70086756544725
68000,-569.8235367815844
69000,-535.2355904390809
70000,-581.3482897445473
71000,-515.5652878101972
72000,-547.0446114380755
73000,-498.64131734698213
74000,-587.8401917813112
75000,-567.5115678171478
76000,-616.5871635977572
77000,-548.3987292750097
78000,-550.1934390195853
79000,-549.5881128055535
80000,-535.6074249869588
81000,-494.99557961917986
82000,-537.7282317174471
83000,-522.5945767405227
84000,-544.1730436923459
85000,-517.217406948041
86000,-490.2988643391744
87000,-515.4553981446935
88000,-514.1834343404828
89000,-528.4831549881601
90000,-569.5006258531599
91000,-543.4636424629026
92000,-457.7591522783642
93000,-493.389856146509
94000,-511.9039142980373
95000,-583.4771696277323
96000,-473.52605380735173
97000,-511.7099167467397
98000,-420.80476525980333
99000,-461.7362797220935
100000,-385.54726978663064
101000,-470.52000876285297
102000,-455.1754992641008
103000,-524.5769469265884
104000,-453.88940294093135
105000,-521.8685126976658
106000,-428.6965428165595
107000,-634.2627713450744
108000,-453.6726604232158
109000,-432.4133430178548
110000,-503.27245583447774
111000,-414.7750955740235
112000,-466.38287809204184
113000,-475.0743445115871
114000,-542.791106709372
115000,-432.66142786912184
116000,-549.5281288692547
117000,-515.0328215420735
118000,-491.28871400103367
119000,-484.0558070373632
120000,-454.31346843912866
121000,-454.9694502579349
122000,-472.2208649970578
123000,-408.37297837364264
124000,-432.00321012267773
125000,-455.70625321311934
126000,-441.1858501705992
127000,-389.264037513546
128000,-444.43835794634344
129000,-369.59294814587156
130000,-511.0012424434656
131000,-360.5372889141946
132000,-433.34848437940616
133000,-498.3171031100814
134000,-471.29693963489507
135000,-345.2560481294375
136000,-445.84067986015424
137000,-331.5959012041199
138000,-425.1650182285234
139000,-440.06775053874554
140000,-396.06394723948404
141000,-397.3250376655684
142000,-376.5335948905594
143000,-419.1128036595133
144000,-385.8796836881845
145000,-329.1804046144449
146000,-425.59855633937735
147000,-331.4438827194682
148000,-370.7002121398452
149000,-354.0257844994757
150000,-470.8389700689586
151000,-385.92421369138725
152000,-380.39287825653764
153000,-376.3067282500103
154000,-367.15359176217754
155000,-337.64596810064137
156000,-447.9371716802804
157000,-396.60846759169596
