step,reward
1000,50395.91676151062
2000,37696.024070131905
3000,35343.973122831296
4000,39177.071445317786
5000,39040.24121301482
6000,48145.810319423355
7000,40013.432932361204
8000,40976.59543731105
9000,42137.69591523599
10000,39673.78186913414
11000,40474.89471395859
12000,41727.83173554751
13000,38938.416770098775
14000,40474.924267713
15000,39115.138201899324
16000,41164.569594987275
17000,40650.8501446673
18000,41626.92428480239
19000,49057.666716839645
20000,40602.44804124586
21000,41639.18653087372
22000,41818.42385095552
23000,42333.367468273485
24000,43984.156166385976
25000,39542.2713384126
26000,42161.01366988729
27000,43584.86191207623
28000,44679.67971751224
29000,42446.40618673992
30000,43879.902570648184
31000,45545.35561850753
32000,44491.8911154764
33000,47326.67256242693
34000,44739.01417821082
35000,46261.48851721679
36000,49279.03799427709
37000,42914.95178053035
38000,42449.97473671673
39000,43562.73858294686
40000,51595.05675190833
41000,49240.00287064342
42000,51149.80277022486
43000,43710.96731101074
44000,44889.34763360235
45000,45509.20265694169
46000,56585.175652502745
47000,47761.06805416144
48000,53192.35805617507
49000,48814.58051635849
50000,47285.248903251966
51000,49156.157110853426
52000,50807.874647010634
53000,57228.995284650875
54000,47306.31868626546
55000,57148.38365191812
56000,57098.105449296505
57000,52884.92846164353
58000,48746.47394465751
59000,50625.229574417164
60000,54643.69088838011
61000,54030.944407091265
62000,53631.37208213063
63000,56390.009015978256
64000,74652.78984846188
65000,50895.274014878254
66000,69520.77248295887
67000,64294.9735855827
68000,51165.708181816255
69000,50849.559130354304
70000,49218.52952197911
71000,54846.05958455822
72000,61895.11153251171
73000,56444.19950978497
74000,61217.114302566246
75000,61571.035125825896
76000,48864.1642387538
77000,51383.30433251127
78000,51217.55281461184
79000,62624.91025988266
80000,58391.34460363384
81000,70038.44873027055
82000,67994.2606433414
83000,60348.247630784266
84000,60242.54651576022
85000,70950.49523864847
86000,53173.31286723399
87000,69195.70176516673
88000,65393.82334660235
89000,57083.88710592031
90000,61867.18164520262
91000,67480.90892303472
92000,69038.40223092482
93000,78089.66069241732
94000,67857.131849121
95000,59716.82162598902
96000,71036.79346076176
97000,74908.79234991877
98000,81487.26391705922
99000,70236.30669254155
100000,58456.90114282649
101000,70777.32344172045
102000,68528.85985895853
103000,68882.19176603384
104000,70313.76964386666
105000,68887.09416607131
106000,58592.36171910937
107000,66897.6245507584
108000,67381.71351137364
109000,55227.867307985834
110000,73050.10646171667
111000,73990.11085286239
112000,65831.74057241468
113000,79454.95744320158
114000,74981.44704880651
115000,74522.95705144842
116000,55712.1560380052
117000,65427.42998886474
118000,73695.43602819802
119000,72163.75597824935
120000,67444.13147160641
121000,71638.10989427888
122000,53104.05678011525
123000,68233.13893524434
124000,69724.19826638736
125000,71216.42515887717
126000,70026.08147118398
127000,62996.90613368485
128000,58494.51591680895
129000,67777.52042097737
