,steps,avg_rewards0
0,0,-833.1680278092042
1,100000,-546.1280147450138
2,200000,-601.1397484202398
3,300000,-494.4437231364554
4,400000,-508.46326095348064
5,500000,-320.4888420832172
6,600000,-336.89372417314786
7,700000,-348.7489801559957
8,800000,-297.22029222204145
9,900000,-278.65806787691605
10,1000000,-212.48761311190412
11,1100000,-170.07816416911922
12,1200000,-167.29896100974074
13,1300000,-138.07934365088335
14,1400000,-101.77459725916312
15,1500000,-133.86304198799564
16,1600000,-90.0406602894106
17,1700000,-154.4273209582079
18,1800000,-98.65078792969912
19,1900000,-118.32082923082153
20,2000000,-84.00166118536012
21,2100000,-79.67051547337891
22,2200000,-95.57045194068048
23,2300000,-70.15986555290054
24,2400000,-65.41154493183333
25,2500000,-58.85787830452624
26,2600000,-61.75686741960775
27,2700000,-81.5156674603741
28,2800000,-99.148176882037
29,2900000,-57.257219411629976
30,3000000,-53.030592307629824
31,3100000,-47.518532798749135
32,3200000,-48.78293602682749
33,3300000,-36.455863557362065
34,3400000,-56.85782447528257
35,3500000,-63.943466192737695
36,3600000,-55.050430880477236
37,3700000,-67.02947283407926
38,3800000,-49.23374411185673
39,3900000,-35.086167138619345
40,4000000,-40.97971888792598
41,4100000,-49.21271720567671
42,4200000,-39.17631392259883
43,4300000,-46.9260927910151
44,4400000,-44.08025297337947
45,4500000,-20.835026194259985
46,4600000,-32.05291004488763
47,4700000,-20.90938539406667
48,4800000,-14.152084404719622
49,4900000,-8.94897751003369
50,5000000,-18.61410989138446
51,5100000,-13.5826193513258
52,5200000,0.42262767947431185
53,5300000,1.9793355313252428
54,5400000,6.484262039017125
55,5500000,12.68657003189876
56,5600000,17.077595288898273
57,5700000,23.48503472463759
58,5800000,30.662324636209195
59,5900000,39.62853327031191
60,6000000,50.72310375455959
61,6100000,62.96368743506341
62,6200000,60.254349745698654
63,6300000,65.67361466531406
64,6400000,84.90397136296691
65,6500000,98.63273860993066
66,6600000,109.76272522114783
67,6700000,114.117159150713
68,6800000,135.94029229623874
69,6900000,142.13707648816552
70,7000000,143.14586449517367
71,7100000,146.49741183795655
72,7200000,151.2610698219914
73,7300000,186.5265523702836
74,7400000,212.6294769663183
75,7500000,211.55348281156586
76,7600000,207.07678550036383
77,7700000,236.186735602728
78,7800000,283.5707214390875
79,7900000,291.20972531801056
80,8000000,333.1500372783479
81,8100000,344.43353784218596
82,8200000,340.11292909847265
83,8300000,309.9747711213189
84,8400000,351.02809412555354
85,8500000,378.65185457109556
86,8600000,392.28830103817086
87,8700000,406.27450559161656
88,8800000,433.82871540098085
89,8900000,479.5187490245202
90,9000000,487.71264497583667
91,9100000,514.606420705337
92,9200000,526.3905542642146
93,9300000,522.8829110470687
94,9400000,555.2832411283072
95,9500000,626.9035457083957
96,9600000,591.9656912984261
97,9700000,677.4632251869978
98,9800000,575.1598158237185
99,9900000,587.7236313081422
100,10000000,692.2993077028707
101,10100000,753.5634579355924
102,10200000,781.4996011846026
103,10300000,733.4629210772322
104,10400000,678.0311859444013
105,10500000,771.1627414619253
106,10600000,768.0018574001473
107,10700000,770.7473025834931
108,10800000,777.7456680195749
109,10900000,775.8124353139217
110,11000000,851.1545662954425
111,11100000,814.4180084825889
112,11200000,869.9788397842467
113,11300000,844.0610636784844
114,11400000,833.0043048531982
115,11500000,930.8765899437343
116,11600000,929.1166770733215
117,11700000,964.1393867708971
118,11800000,991.7459851225445
119,11900000,913.9643528296614
120,12000000,1022.4476502112506
121,12100000,995.4910858154329
122,12200000,998.4586636162416
123,12300000,1212.9035602650044
124,12400000,1031.8331799728396
125,12500000,1216.3066542635013
126,12600000,1053.2353078941958
127,12700000,997.5106858567083
128,12800000,958.0683976290632
129,12900000,1077.1816597244992
130,13000000,1120.1574989341273
131,13100000,1000.2897615431734
132,13200000,1012.0446717870951
133,13300000,1143.0984593900382
134,13400000,1256.3983605590074
135,13500000,1297.3284756454218
136,13600000,1162.077542838279
137,13700000,1215.3352090400047
138,13800000,1174.751048717696
139,13900000,1097.8018765402217
140,14000000,1134.245629694509
141,14100000,1267.8566306383232
142,14200000,1206.784448454132
143,14300000,1250.3972586565774
144,14400000,1175.2479502906883
145,14500000,1251.4059270339003
146,14600000,1181.9470495992891
147,14700000,1188.2120042027316
148,14800000,1300.927674109168
149,14900000,1374.1239127335366
150,15000000,1308.1480784523892
151,15100000,1290.0363194795477
152,15200000,1390.1166193054967
153,15300000,1241.378695737046
154,15400000,1380.5393093286655
155,15500000,1307.221404786275
156,15600000,1195.817974734473
157,15700000,1262.4983119807264
158,15800000,1219.0456878871985
159,15900000,1411.083792116182
160,16000000,1373.230040044988
161,16100000,1323.4146113617476
162,16200000,1373.5620356088461
163,16300000,1371.1026064088242
164,16400000,1448.1396075580947
165,16500000,1415.527423526356
166,16600000,1416.3685903729743
167,16700000,1401.8553538652338
168,16800000,1427.8832838143398
169,16900000,1560.542121970356
170,17000000,1554.5579926097726
171,17100000,1677.3949143858886
172,17200000,1572.2353584320879
173,17300000,1515.223881166055
174,17400000,1801.5585205575526
175,17500000,1652.9311021693582
176,17600000,1779.3392916671935
177,17700000,1720.73260779987
178,17800000,1818.587263140708
179,17900000,1694.4713679240822
180,18000000,1620.7543783715696
181,18100000,1797.9877932770175
182,18200000,1667.405140559816
183,18300000,1751.7660087139739
184,18400000,1810.0876803297108
185,18500000,1696.8035590858444
186,18600000,1691.217080312445
187,18700000,1749.205019392136
188,18800000,1620.2968091368518
189,18900000,1676.7677832792067
190,19000000,1882.1604850957235
191,19100000,1749.2846420545777
192,19200000,1682.2636148027982
193,19300000,1700.134547302385
194,19400000,1867.4669705110014
195,19500000,1820.35260660589
196,19600000,1841.6128045052128
197,19700000,1937.0810264388629
198,19800000,1843.6437342376075
199,19900000,1867.4151379081125
