,steps,avg_rewards0
0,0,-757.4784187878354
1,100000,-779.9414484571079
2,200000,-683.467727269674
3,300000,-484.7714092718412
4,400000,-535.033155207805
5,500000,-525.2935534807723
6,600000,-353.86973645147395
7,700000,-263.54578951167014
8,800000,-252.51215503164826
9,900000,-201.03860313680124
10,1000000,-179.72117578371797
11,1100000,-222.4202956192695
12,1200000,-151.16698540262132
13,1300000,-188.9975543933927
14,1400000,-193.8246516390174
15,1500000,-128.38806736698191
16,1600000,-117.24941763906504
17,1700000,-106.14411269249877
18,1800000,-86.07814824825867
19,1900000,-116.41532895778332
20,2000000,-66.48544889272974
21,2100000,-76.80886001949844
22,2200000,-88.2548928073062
23,2300000,-75.6251193922969
24,2400000,-80.15987537644187
25,2500000,-56.80856669525296
26,2600000,-45.388413983700104
27,2700000,-57.86771254809093
28,2800000,-55.66577297891695
29,2900000,-43.54541015803377
30,3000000,-51.775594518743794
31,3100000,-61.533275229656994
32,3200000,-25.727559737782094
33,3300000,-54.7871288155525
34,3400000,-29.20377648480339
35,3500000,-29.451341892888667
36,3600000,-43.384381065810366
37,3700000,-33.262341454922584
38,3800000,-24.243743533076646
39,3900000,-32.06019226866352
40,4000000,-17.895518431078298
41,4100000,-10.516800467778468
42,4200000,-23.866584601768945
43,4300000,-9.914471909893274
44,4400000,-1.8174463061671553
45,4500000,-2.217618301442261
46,4600000,3.745906857871218
47,4700000,9.578617585639241
48,4800000,15.038962763659743
49,4900000,24.723508099029992
50,5000000,31.28728303472696
51,5100000,36.6157611426877
52,5200000,46.78916649769557
53,5300000,59.37955132395791
54,5400000,73.42923754856054
55,5500000,90.6876829521953
56,5600000,96.87897000941803
57,5700000,111.22714724093612
58,5800000,136.92000719926602
59,5900000,162.05797198101726
60,6000000,186.91342654627698
61,6100000,199.2375580730081
62,6200000,199.82479370934277
63,6300000,257.3402611009335
64,6400000,281.3244555636304
65,6500000,328.6158110118447
66,6600000,346.4949323337159
67,6700000,375.4580079462092
68,6800000,355.4123476910508
69,6900000,389.04250313822627
70,7000000,353.50873592866986
71,7100000,459.9265261987173
72,7200000,480.6780631892385
73,7300000,445.5363696729782
74,7400000,484.7276432117805
75,7500000,501.48436409639396
76,7600000,477.833177979283
77,7700000,510.14577688991557
78,7800000,528.725726372858
79,7900000,526.5298180209127
80,8000000,554.5760211311825
81,8100000,583.8349918746425
82,8200000,643.407540826566
83,8300000,653.488013013857
84,8400000,593.3917791913904
85,8500000,590.7919606257448
86,8600000,640.9811676260113
87,8700000,695.5254079904718
88,8800000,743.6049098436582
89,8900000,756.8621894437343
90,9000000,690.1092416671277
91,9100000,763.0935648667639
92,9200000,827.5910945434952
93,9300000,813.9322336148086
94,9400000,879.81500371585
95,9500000,829.3642872461734
96,9600000,987.4664924011024
97,9700000,890.4142224284716
98,9800000,958.52809592571
99,9900000,966.9564654717625
100,10000000,979.0214895387442
101,10100000,978.2423460968264
102,10200000,961.8064262582448
103,10300000,1076.115537164687
104,10400000,1006.3722434588722
105,10500000,1000.2141407379154
106,10600000,1036.0982841209398
107,10700000,1017.3010887666277
108,10800000,1031.0985280638376
109,10900000,1000.5636918284736
110,11000000,947.500529880166
111,11100000,969.5981563498685
112,11200000,954.2432577756557
113,11300000,907.7499267330411
114,11400000,893.5993705613496
115,11500000,1052.7698479551593
116,11600000,1045.4448972879657
117,11700000,1057.6582156984084
118,11800000,1079.0081158219666
119,11900000,1096.7462585121818
120,12000000,1131.7086532218239
121,12100000,988.6463368412318
122,12200000,1012.5811846620905
123,12300000,1007.4039127179699
124,12400000,992.1304912142964
125,12500000,1054.7840437284908
126,12600000,1138.8303571456436
127,12700000,1140.141754182192
128,12800000,1024.4573921602016
129,12900000,1113.089253985719
130,13000000,1138.8090005275246
131,13100000,1029.5660543342449
132,13200000,1046.6959185964906
133,13300000,1090.4206808778117
134,13400000,1041.1786749919609
135,13500000,1113.4044571978773
136,13600000,1117.1231086964328
137,13700000,1103.634020314403
138,13800000,1135.9489997194696
139,13900000,1036.7202081791713
140,14000000,1196.8599704974374
141,14100000,1119.3248941756165
142,14200000,1215.3667103138791
143,14300000,1065.578763571878
144,14400000,1160.236234914996
145,14500000,1153.2624650398889
146,14600000,1099.4102679843586
147,14700000,1262.2277997393521
148,14800000,1276.6522086959337
149,14900000,1202.7964041761334
150,15000000,1375.8198088051472
151,15100000,1293.1904497858955
152,15200000,1358.760681409149
153,15300000,1383.6854313973568
154,15400000,1371.7088237463238
155,15500000,1266.5032945644407
156,15600000,1258.3631506348956
157,15700000,1334.6296390823786
158,15800000,1245.5653218528346
159,15900000,1301.4727693469379
160,16000000,1258.9437695619563
161,16100000,1255.492336376577
162,16200000,1228.3106970064248
163,16300000,1289.8602126148608
164,16400000,1290.964598230331
165,16500000,1260.204005440846
166,16600000,1375.5890856160463
167,16700000,1460.7579765194128
168,16800000,1253.3753855275886
169,16900000,1368.3533269020863
170,17000000,1362.4884034797144
171,17100000,1361.415206791558
172,17200000,1428.8848660621445
173,17300000,1398.339029747156
174,17400000,1202.2369355233077
175,17500000,1442.8240658854927
176,17600000,1513.6566461271138
177,17700000,1595.0684185651328
178,17800000,1560.889765086814
179,17900000,1538.84236385843
180,18000000,1514.7278917071426
181,18100000,1419.8129839718379
182,18200000,1507.154476487952
183,18300000,1393.2702731408167
184,18400000,1598.6221010758493
185,18500000,1511.2840760358395
186,18600000,1561.857870691013
187,18700000,1746.5922754441492
188,18800000,1635.390145089097
189,18900000,1593.7543920948692
190,19000000,1559.4685067816813
191,19100000,1562.8935749782872
192,19200000,1489.5025643278805
193,19300000,1568.6980799555347
194,19400000,1580.7923767155057
195,19500000,1559.7603078047134
196,19600000,1606.5084690294548
197,19700000,1680.2346449566944
198,19800000,1662.965192301965
199,19900000,1658.0100720039804
