,steps,avg_rewards0
0,0,-821.0364233273899
1,100000,-675.7356404576885
2,200000,-607.3765525006626
3,300000,-551.0400695878939
4,400000,-487.2205255790182
5,500000,-449.0009013413065
6,600000,-411.93898679635646
7,700000,-370.4608220465666
8,800000,-314.9680762491021
9,900000,-285.69046068908506
10,1000000,-233.98093840850146
11,1100000,-209.18567771329882
12,1200000,-171.94940004997116
13,1300000,-150.15699605800552
14,1400000,-114.74307033363361
15,1500000,-56.63436004226639
16,1600000,-37.23939335562033
17,1700000,-7.105218980997169
18,1800000,44.409923604747476
19,1900000,71.25761197032374
20,2000000,139.20697891442273
21,2100000,193.51631330794345
22,2200000,254.10783246096645
23,2300000,295.79294047441135
24,2400000,317.71024932947194
25,2500000,383.0484614475452
26,2600000,417.0760440539669
27,2700000,493.9788050164695
28,2800000,534.544735642497
29,2900000,567.7401362092671
30,3000000,598.4210619333531
31,3100000,651.2010483796577
32,3200000,627.4152401346884
33,3300000,718.2008030203372
34,3400000,720.3070314590855
35,3500000,750.0509332906854
36,3600000,778.6329602057501
37,3700000,824.7594365499874
38,3800000,836.8759229697528
39,3900000,871.287524658207
40,4000000,866.5725580898417
41,4100000,898.130929054709
42,4200000,934.7083768769658
43,4300000,955.8049675468526
44,4400000,984.7736678561669
45,4500000,991.2263758632695
46,4600000,975.8995342126276
47,4700000,974.6802778319885
48,4800000,995.8544789508647
49,4900000,1024.3423463719298
50,5000000,981.5283062061812
51,5100000,1011.409364643087
52,5200000,1004.9003644947348
53,5300000,1015.2058511601587
54,5400000,1068.2785415773624
55,5500000,994.3672094578509
56,5600000,1062.1246802459202
57,5700000,1070.8353819918673
58,5800000,1094.3268840584008
59,5900000,1096.621603469027
60,6000000,1084.142176678239
61,6100000,1088.46121580364
62,6200000,1132.9005787836668
63,6300000,1125.4771479263059
64,6400000,1097.209283394637
65,6500000,1078.7402191966862
66,6600000,1130.199832338844
67,6700000,1121.8437560346972
68,6800000,1114.7081222886195
69,6900000,1128.2339896470899
70,7000000,1155.5032555054233
71,7100000,1162.8682011946792
72,7200000,1113.0456208134078
73,7300000,1156.9824823236388
74,7400000,1146.8033011950338
75,7500000,1178.8454267755476
76,7600000,1173.1636265045895
77,7700000,1158.7380116545166
78,7800000,1181.8860273006944
79,7900000,1143.9087656184138
80,8000000,1207.3425157238532
81,8100000,1172.5006756768207
82,8200000,1169.0358364137696
83,8300000,1178.946139436579
84,8400000,1213.826101518746
85,8500000,1188.1855941683887
86,8600000,1220.5733138468631
87,8700000,1223.0554639046597
88,8800000,1231.5685053073676
89,8900000,1210.0850667664956
90,9000000,1173.6328195769026
91,9100000,1219.7765096038825
92,9200000,1235.2214868393996
93,9300000,1221.7789183714133
94,9400000,1179.0656813924898
95,9500000,1236.7501974439015
96,9600000,1220.8187494751453
97,9700000,1166.5445994296176
98,9800000,1223.6081121099885
99,9900000,1205.826597047898
100,10000000,1213.2381004490662
101,10100000,1229.2552054568273
102,10200000,1213.0152408288857
103,10300000,1207.281782792162
104,10400000,1204.3328368683674
105,10500000,1193.9498625840272
106,10600000,1234.3440145873599
107,10700000,1231.6040678744687
108,10800000,1196.6131443753854
109,10900000,1253.530761317271
110,11000000,1271.8863323405049
111,11100000,1233.226848163813
112,11200000,1267.2689424037494
113,11300000,1280.897399656371
114,11400000,1280.4652138124734
115,11500000,1289.5939638299503
116,11600000,1298.380838255317
117,11700000,1263.8248780787058
118,11800000,1273.1838024454632
119,11900000,1282.2532113045188
120,12000000,1300.6702847951606
121,12100000,1308.6177948202314
122,12200000,1305.289318849715
123,12300000,1293.3185009200524
124,12400000,1280.0054408554454
125,12500000,1287.6924866458703
126,12600000,1317.0202292493589
127,12700000,1283.191987998397
128,12800000,1311.8854517695436
129,12900000,1282.8962620723573
130,13000000,1291.6937166378482
131,13100000,1312.5945397648638
132,13200000,1296.7235602841536
133,13300000,1300.5003019266057
134,13400000,1304.6562747723058
135,13500000,1303.1033302627939
136,13600000,1311.412647304545
137,13700000,1310.3660638339702
138,13800000,1313.0225553673472
139,13900000,1316.8209176180962
140,14000000,1317.8316193967344
141,14100000,1316.7092934371353
142,14200000,1311.7673773591919
143,14300000,1284.4570770650803
144,14400000,1320.138260301715
145,14500000,1299.764159781016
146,14600000,1313.1145570569543
147,14700000,1278.6326004374991
148,14800000,1306.7280984964566
149,14900000,1293.2671765504228
150,15000000,1302.1850534557832
151,15100000,1294.5807481425961
152,15200000,1288.250478448732
153,15300000,1251.671845996894
154,15400000,1268.212380425061
155,15500000,1300.8997459549537
156,15600000,1299.12967242229
157,15700000,1281.253450025473
158,15800000,1301.685915924314
159,15900000,1295.0077422457534
160,16000000,1306.0863147904665
161,16100000,1304.166990779072
162,16200000,1292.2420903795069
163,16300000,1299.7797253372469
164,16400000,1295.0133120764808
165,16500000,1302.851961741405
166,16600000,1275.8751586075884
167,16700000,1271.4131097571665
168,16800000,1276.5337196304579
169,16900000,1251.004657257163
170,17000000,1294.451950806408
171,17100000,1270.8502060871358
172,17200000,1299.3879202393646
173,17300000,1309.4480938415988
174,17400000,1307.4369146846564
175,17500000,1273.8415824141543
176,17600000,1315.257982906301
177,17700000,1310.0619565761529
178,17800000,1309.6341016184151
179,17900000,1300.8505495352047
180,18000000,1301.7696343832417
181,18100000,1313.0787118352525
182,18200000,1310.9458855655466
183,18300000,1295.1508094895698
184,18400000,1297.984919855133
185,18500000,1260.3536447399747
186,18600000,1283.196078152388
187,18700000,1266.0765144594202
188,18800000,1285.5144210621356
189,18900000,1289.7351191529506
190,19000000,1307.595086076905
191,19100000,1280.5490209071934
192,19200000,1279.601601922709
193,19300000,1298.376551713701
194,19400000,1282.985781689094
195,19500000,1299.5423556569194
196,19600000,1301.6592357791797
197,19700000,1305.6319127188613
198,19800000,1290.1851887481969
199,19900000,1297.5070454274592
