step,reward
1000,-1730.0034551618821
2000,-1643.2939539737129
3000,-1448.2692268735225
4000,-1370.044515535514
5000,-1283.3129402914099
6000,-1132.1725116782363
7000,-1033.9338779604016
8000,-982.3192759317252
9000,-891.1562134128347
10000,-841.6792014951235
11000,-763.8785510273457
12000,-714.5892124629795
13000,-680.1987308099805
14000,-623.4094792956711
15000,-578.3096768890841
16000,-538.7114544553385
17000,-511.2575845770417
18000,-480.65025083201783
19000,-439.37631942420967
20000,-419.17482443859234
21000,-409.22294728564196
22000,-395.61289449955973
23000,-364.33493475647094
24000,-357.7962566419854
25000,-345.71789195214126
26000,-345.34485099167193
27000,-337.22811014478225
28000,-317.6370745573146
29000,-315.86848489427206
30000,-313.8251075112064
31000,-320.2167916097179
32000,-304.96182583307535
33000,-305.55930638413673
34000,-307.68197422176024
35000,-298.06239209566434
36000,-298.6750772053293
37000,-301.7854640541273
38000,-305.1184204706795
39000,-288.94413033349076
40000,-284.33106239777464
41000,-288.13716536321004
42000,-281.5135436733082
43000,-286.44948142841383
44000,-274.0681557960727
45000,-277.62912100728676
46000,-269.0623907316496
47000,-269.6693684045232
48000,-270.70854223695414
49000,-268.4600009049959
50000,-267.49538958479053
51000,-266.5913370042924
52000,-256.4376479096879
53000,-257.50381819317244
54000,-250.56021605175255
55000,-245.13316232052796
56000,-243.02263055359165
57000,-234.8518035691662
58000,-239.48656122416273
59000,-233.4920903204436
60000,-234.7726053034357
61000,-232.63634406479642
62000,-223.70732651049227
63000,-221.97389353547118
64000,-222.1023000189995
65000,-216.84920984834648
66000,-212.85738694683525
67000,-214.41813500226402
68000,-218.4070744105926
69000,-214.97200909931874
70000,-205.53703022256917
71000,-199.55304837383596
72000,-193.8723737695253
73000,-196.61357908639303
74000,-192.86299159884865
75000,-186.59028048889422
76000,-181.08288546287244
77000,-180.30914930365677
78000,-181.92783818188235
79000,-181.61158719132294
80000,-185.57476998153632
81000,-176.5626087684604
82000,-177.7718182570843
83000,-177.18713948089626
84000,-172.17961788886709
85000,-166.0827711022233
86000,-168.02009319923064
87000,-166.707158569845
88000,-166.68821059333925
89000,-165.32849780612045
90000,-155.0267823277125
91000,-156.83835039430494
92000,-157.93717220831516
93000,-159.83171397052283
94000,-160.32327070048538
95000,-154.50467730662726
96000,-151.2875615300432
97000,-151.25923596527775
98000,-148.6370317943807
99000,-147.93200740619764
100000,-148.98956687659017
101000,-148.87271614531264
102000,-145.95869535684213
103000,-145.49182450626216
104000,-147.0229533525694
105000,-140.77188758613772
106000,-143.1814603760331
107000,-145.82052826281725
108000,-138.10069281307267
109000,-140.62102320051204
110000,-139.48939169292996
111000,-138.45034054786075
112000,-139.40764255407782
113000,-140.5331735320098
114000,-143.25440764471372
115000,-139.427036261893
116000,-136.1001648190839
117000,-140.5621200390572
118000,-133.5166103601279
119000,-133.9708087791284
120000,-133.61467406424447
121000,-132.30340715127898
122000,-131.2241961717071
123000,-132.20575892839133
124000,-129.98636262563082
125000,-130.03909569272406
126000,-128.04787561782075
127000,-133.32643109673566
128000,-130.6862123492128
129000,-132.11402268601844
130000,-129.77608768838712
131000,-129.096613991148
132000,-128.40286797996453
133000,-126.98984079882823
134000,-125.66137494830231
135000,-125.08517953873265
136000,-123.06233345801415
137000,-124.53219590484734
138000,-120.21582439375975
139000,-123.40995225000441
140000,-124.71473768671162
141000,-122.3011561958191
142000,-121.74793397387921
143000,-121.64361377844911
144000,-123.32422497570518
145000,-121.95765317042905
146000,-121.26483581290034
147000,-122.89974098612186
148000,-120.21868465017936
149000,-124.16577159420748
150000,-117.69240433048729
151000,-120.26584446279696
152000,-119.04087673107712
153000,-118.58653456323583
154000,-119.37729222140578
155000,-118.88951875959748
156000,-116.09892259707892
157000,-118.68687877761081
158000,-117.83270786009415
159000,-115.840113267639
160000,-119.47436676837727
161000,-116.09887636556304
162000,-116.43850508174368
163000,-118.79482875357185
164000,-120.28819720525681
165000,-116.02410764391328
166000,-118.1764089227383
167000,-117.44372010543853
168000,-116.37418397264929
169000,-115.79755319433735
170000,-116.7973646360712
171000,-117.12030091751663
172000,-116.63931160289692
173000,-113.63828596839973
174000,-119.22453804785268
175000,-112.54222043512094
176000,-113.02927519357353
177000,-116.300156997136
178000,-113.96261774381014
179000,-116.88816737289525
180000,-116.44261753359459
181000,-116.11852267057753
182000,-112.17490990936165
183000,-116.71770749400326
184000,-112.71285737464176
185000,-115.759003977379
186000,-114.88269836418057
187000,-114.57633882892216
188000,-112.56267889160968
189000,-114.50751889200818
190000,-112.44280127245001
191000,-110.65700489439857
192000,-110.94765402887765
193000,-108.3561331048853
194000,-111.83510334394441
195000,-110.26776408888416
196000,-107.86776343631051
197000,-108.15890718219292
198000,-108.8402703771619
199000,-106.56270088529128
200000,-109.66049584425537
201000,-110.38565611384253
202000,-106.64103264505815
203000,-105.12324847148827
204000,-108.75825896731824
205000,-106.89570270638252
206000,-106.87137262098743
207000,-107.00838769159913
208000,-106.19052224494712
209000,-111.50455573971328
210000,-110.17969562858615
211000,-105.92532151861099
212000,-107.61760145896216
213000,-106.40866506144154
214000,-108.1123127196541
215000,-105.77386055553497
216000,-107.55430550553184
217000,-104.98763260559235
218000,-103.99341601812321
219000,-104.29883018238453
220000,-102.6929264139212
221000,-104.25775587190903
222000,-101.7411065642811
223000,-103.75277197974853
224000,-105.39361018664293
225000,-103.54883011568438
226000,-103.0622123681937
227000,-104.59581612141231
228000,-103.06979913174699
229000,-105.4283971490076
230000,-104.68386507381906
231000,-106.74423536475999
