step,reward
1000,-1734.0919959179832
2000,-1588.1157460266625
3000,-1452.851872980108
4000,-1370.2726132286077
5000,-1270.6666156712756
6000,-1132.5034492972236
7000,-1043.6682516889778
8000,-964.5122784812754
9000,-901.3491693226501
10000,-837.4770434969447
11000,-758.4471793957547
12000,-705.56853456908
13000,-633.1668870224414
14000,-615.7275503270184
15000,-583.8367007429291
16000,-529.1819435131781
17000,-498.25813578511776
18000,-483.18028577069566
19000,-436.13693644193967
20000,-407.2226067870556
21000,-414.392737359505
22000,-387.2145726227098
23000,-364.36314459657075
24000,-362.4656016400793
25000,-344.17434977894806
26000,-341.03904878693584
27000,-320.9968567273112
28000,-330.04204647748827
29000,-318.5401415570152
30000,-322.88506340098917
31000,-304.26767859496414
32000,-297.6212134200861
33000,-312.10806535344204
34000,-302.0080533232445
35000,-294.901326201676
36000,-289.1443612269166
37000,-286.2577320853249
38000,-281.0416692185085
39000,-266.3692241927409
40000,-267.15064916913695
41000,-271.6289908056834
42000,-275.90732401092583
43000,-270.62835113258956
44000,-264.5063228748176
45000,-267.9303003866303
46000,-262.64388979155416
47000,-263.4360894852095
48000,-260.30485153314083
49000,-260.5118501448025
50000,-258.752878312894
51000,-254.54133558354332
52000,-255.41219246168518
53000,-255.78827869958
54000,-258.6026913081016
55000,-265.1746976166702
56000,-257.5835715279953
57000,-257.21206912372054
58000,-251.5153274637015
59000,-243.26754639294006
60000,-241.37352343025734
61000,-237.67864105291065
62000,-230.10291345655673
63000,-229.46686421197347
64000,-226.52991735353245
65000,-221.1880176683329
66000,-222.23502328191998
67000,-227.03078215393242
68000,-217.647535352119
69000,-209.74058494966343
70000,-208.4244692392044
71000,-210.97816463097925
72000,-205.74864292806566
73000,-203.01994146326737
74000,-196.63686811961855
75000,-198.42215681792348
76000,-196.1924116068269
77000,-190.97548199055194
78000,-185.17786964014763
79000,-184.87524865210733
80000,-179.46340446238602
81000,-177.58978183277833
82000,-175.2169374430486
83000,-174.49237661305312
84000,-175.42925571901654
85000,-169.10611201922305
86000,-170.43849597002543
87000,-170.57442774273298
88000,-167.29680097518832
89000,-164.22897771686254
90000,-165.36653991073112
91000,-168.37823329388462
92000,-170.31662787336842
93000,-165.26455675176956
94000,-169.14623805072867
95000,-166.4068072561086
96000,-166.62158815418442
97000,-162.57382770543256
98000,-161.63113095355348
99000,-162.86389482716433
100000,-157.99750313982173
101000,-161.07877662699948
102000,-156.4446630407521
103000,-162.13694353322379
104000,-155.1169308397332
105000,-152.85012454233555
106000,-157.2531015569761
107000,-154.99642057190368
108000,-157.53539377317006
109000,-154.53534837921572
110000,-150.35962870378032
111000,-152.41028307327653
112000,-153.7223721358155
113000,-148.56834133801246
114000,-152.49029920562177
115000,-145.16094785462244
116000,-149.72420394297268
117000,-147.4640633453484
118000,-145.60074678224143
119000,-153.36088845287074
120000,-147.3824043269545
121000,-149.84598005212143
122000,-144.20312033852406
123000,-143.66528433000522
124000,-139.15989655310275
125000,-138.2372751144498
126000,-141.26146684388695
127000,-140.21519297501996
128000,-143.38539797188878
129000,-142.2835723241769
130000,-142.64135622496846
131000,-138.41573544481543
132000,-137.47766687710504
133000,-136.92679510641457
134000,-135.36965530579388
135000,-136.95701405818363
136000,-133.81468320963413
137000,-129.23610226735693
138000,-133.33733815562312
139000,-136.58637943720515
140000,-134.5252614468019
141000,-131.81075264463803
142000,-131.1789391185575
143000,-134.87205768175534
144000,-133.00710137846053
145000,-131.75811174217617
146000,-132.30827471123143
147000,-130.10212279478455
148000,-131.61046646661546
149000,-130.29868614786187
150000,-129.35195200036824
151000,-127.90267578981042
152000,-128.25788712307377
153000,-127.84106541659929
154000,-128.18393636690922
155000,-127.56177716867101
156000,-129.35177682609302
157000,-128.3736181700335
158000,-128.02902641169408
159000,-129.89066683096326
160000,-130.09470318939515
161000,-125.79181218682852
162000,-126.84392820329472
163000,-128.62320824877995
