step,reward
1000,-2078.0
2000,-2096.0
3000,-2098.0
4000,-2092.0
5000,-1998.0
6000,-2094.0
7000,-1922.0
8000,-2062.0
9000,-2028.0
10000,-1988.0
11000,-1920.0
12000,-2080.0
13000,-2112.0
14000,-2052.0
15000,-2110.0
16000,-2014.0
17000,-1778.0
18000,-1940.0
19000,-1938.0
20000,-1938.0
21000,-1978.0
22000,-1974.0
23000,-1876.0
24000,-1788.0
25000,-1998.0
26000,-1922.0
27000,-1888.0
28000,-1608.0
29000,-1938.0
30000,-1764.0
31000,-1990.0
32000,-1848.0
33000,-1722.0
34000,-1922.0
35000,-2030.0
36000,-1856.0
37000,-1646.0
38000,-2068.0
39000,-1792.0
40000,-1906.0
41000,-1904.0
42000,-1886.0
43000,-1756.0
44000,-1726.0
45000,-1890.0
46000,-1776.0
47000,-1712.0
48000,-1964.0
49000,-1886.0
50000,-1838.0
51000,-1894.0
52000,-1792.0
53000,-1768.0
54000,-1932.0
55000,-1794.0
56000,-1766.0
57000,-1812.0
58000,-1758.0
59000,-1900.0
60000,-1712.0
61000,-1780.0
62000,-1754.0
63000,-1770.0
64000,-1746.0
65000,-1808.0
66000,-1858.0
67000,-1834.0
68000,-1868.0
69000,-1712.0
70000,-1840.0
71000,-1908.0
72000,-1562.0
73000,-1852.0
74000,-1708.0
75000,-1864.0
76000,-1686.0
77000,-1870.0
78000,-1840.0
79000,-1994.0
80000,-1664.0
81000,-1698.0
82000,-1736.0
83000,-1636.0
84000,-1748.0
85000,-1822.0
86000,-1792.0
87000,-1770.0
88000,-1848.0
89000,-1798.0
90000,-1826.0
91000,-1674.0
92000,-1834.0
93000,-1764.0
94000,-1820.0
95000,-1858.0
96000,-1830.0
97000,-1722.0
98000,-1724.0
99000,-1658.0
100000,-1602.0
101000,-1786.0
102000,-1524.0
103000,-1756.0
104000,-1776.0
105000,-1656.0
106000,-1682.0
107000,-1716.0
108000,-1808.0
109000,-1646.0
110000,-1826.0
111000,-1636.0
112000,-1794.0
113000,-1616.0
114000,-1776.0
115000,-1770.0
116000,-1676.0
117000,-1782.0
118000,-1674.0
119000,-1668.0
120000,-1716.0
121000,-1798.0
122000,-1702.0
123000,-1602.0
124000,-1688.0
125000,-1634.0
126000,-1784.0
127000,-1710.0
128000,-1706.0
129000,-1682.0
130000,-1584.0
131000,-1670.0
132000,-1654.0
133000,-1710.0
134000,-1700.0
135000,-1684.0
136000,-1732.0
137000,-1728.0
138000,-1642.0
139000,-1722.0
140000,-1718.0
141000,-1696.0
142000,-1606.0
143000,-1766.0
144000,-1668.0
145000,-1694.0
146000,-1644.0
147000,-1602.0
148000,-1658.0
149000,-1666.0
150000,-1618.0
151000,-1658.0
152000,-1686.0
153000,-1704.0
154000,-1680.0
155000,-1596.0
156000,-1620.0
157000,-1588.0
158000,-1600.0
159000,-1566.0
160000,-1636.0
161000,-1550.0
162000,-1556.0
163000,-1636.0
164000,-1578.0
165000,-1564.0
166000,-1704.0
167000,-1596.0
168000,-1396.0
169000,-1572.0
170000,-1598.0
171000,-1654.0
172000,-1588.0
173000,-1620.0
174000,-1362.0
175000,-1638.0
176000,-1698.0
177000,-1602.0
178000,-1538.0
179000,-1668.0
180000,-1540.0
181000,-1390.0
182000,-1712.0
183000,-1560.0
184000,-1484.0
185000,-1602.0
186000,-1634.0
187000,-1676.0
188000,-1598.0
189000,-1572.0
190000,-1576.0
191000,-1582.0
192000,-1614.0
193000,-1458.0
194000,-1618.0
195000,-1594.0
196000,-1570.0
197000,-1552.0
198000,-1548.0
199000,-1462.0
200000,-1550.0
201000,-1442.0
202000,-1608.0
203000,-1654.0
204000,-1530.0
205000,-1572.0
206000,-1520.0
207000,-1612.0
208000,-1558.0
209000,-1426.0
210000,-1590.0
211000,-1538.0
212000,-1588.0
213000,-1566.0
214000,-1512.0
215000,-1556.0
216000,-1602.0
217000,-1614.0
218000,-1608.0
219000,-1526.0
220000,-1494.0
221000,-1626.0
222000,-1598.0
223000,-1664.0
224000,-1496.0
225000,-1574.0
226000,-1560.0
227000,-1472.0
228000,-1536.0
229000,-1622.0
230000,-1556.0
231000,-1564.0
232000,-1606.0
233000,-1598.0
234000,-1456.0
235000,-1516.0
236000,-1476.0
237000,-1330.0
238000,-1600.0
239000,-1404.0
240000,-1532.0
241000,-1616.0
242000,-1492.0
243000,-1520.0
244000,-1490.0
245000,-1526.0
246000,-1592.0
247000,-1618.0
248000,-1452.0
249000,-1502.0
250000,-1524.0
251000,-1504.0
252000,-1492.0
253000,-1552.0
254000,-1434.0
255000,-1568.0
256000,-1574.0
257000,-1420.0
258000,-1474.0
259000,-1436.0
260000,-1508.0
261000,-1494.0
262000,-1446.0
263000,-1444.0
264000,-1406.0
265000,-1408.0
266000,-1496.0
267000,-1480.0
268000,-1550.0
269000,-1518.0
270000,-1398.0
271000,-1506.0
272000,-1472.0
273000,-1496.0
274000,-1508.0
275000,-1476.0
276000,-1454.0
277000,-1412.0
278000,-1466.0
279000,-1522.0
280000,-1440.0
281000,-1320.0
282000,-1502.0
283000,-1476.0
284000,-1448.0
285000,-1374.0
286000,-1418.0
287000,-1372.0
288000,-1460.0
289000,-1432.0
290000,-1574.0
291000,-1334.0
292000,-1374.0
293000,-1474.0
294000,-1476.0
295000,-1436.0
296000,-1426.0
297000,-1466.0
298000,-1522.0
299000,-1466.0
300000,-1316.0
301000,-1322.0
302000,-1492.0
303000,-1382.0
304000,-1412.0
305000,-1336.0
306000,-1312.0
307000,-1320.0
308000,-1416.0
309000,-1388.0
310000,-1496.0
311000,-1426.0
312000,-1476.0
313000,-1354.0
314000,-1340.0
315000,-1414.0
316000,-1328.0
317000,-1350.0
318000,-1340.0
319000,-1302.0
320000,-1288.0
321000,-1412.0
322000,-1336.0
323000,-1440.0
324000,-1278.0
325000,-1442.0
326000,-1530.0
327000,-1382.0
328000,-1400.0
329000,-1348.0
330000,-1338.0
331000,-1356.0
332000,-1534.0
333000,-1388.0
334000,-1272.0
335000,-1350.0
336000,-1354.0
337000,-1368.0
338000,-1474.0
339000,-1332.0
340000,-1378.0
341000,-1376.0
342000,-1428.0
343000,-1378.0
344000,-1306.0
345000,-1322.0
346000,-1364.0
347000,-1240.0
348000,-1464.0
349000,-1404.0
350000,-1294.0
351000,-1344.0
352000,-1420.0
353000,-1388.0
354000,-1420.0
355000,-1318.0
356000,-1274.0
357000,-1250.0
358000,-1330.0
359000,-1060.0
360000,-1220.0
361000,-1312.0
362000,-1256.0
363000,-1228.0
364000,-1320.0
365000,-1484.0
366000,-1324.0
367000,-1368.0
368000,-1246.0
369000,-1360.0
370000,-1528.0
371000,-1380.0
372000,-1322.0
373000,-1262.0
374000,-1354.0
375000,-1244.0
376000,-1264.0
377000,-1286.0
378000,-1220.0
379000,-1316.0
380000,-1312.0
381000,-1250.0
382000,-1416.0
383000,-1334.0
384000,-1266.0
385000,-1320.0
386000,-1256.0
387000,-1276.0
388000,-1238.0
389000,-1158.0
390000,-1260.0
391000,-1226.0
392000,-1304.0
393000,-1366.0
394000,-1194.0
395000,-1176.0
396000,-1208.0
397000,-1196.0
398000,-1196.0
399000,-1260.0
400000,-1184.0
401000,-1240.0
402000,-1212.0
403000,-1134.0
404000,-1204.0
405000,-1210.0
406000,-1274.0
407000,-1152.0
408000,-1152.0
409000,-1148.0
410000,-1168.0
411000,-1362.0
412000,-1200.0
413000,-1180.0
414000,-1210.0
415000,-1144.0
416000,-1120.0
417000,-1202.0
418000,-1138.0
419000,-1208.0
420000,-1150.0
421000,-1236.0
422000,-1118.0
423000,-1190.0
424000,-1250.0
425000,-1178.0
426000,-1158.0
427000,-1148.0
428000,-1300.0
429000,-1106.0
430000,-1174.0
431000,-1274.0
432000,-1108.0
433000,-1058.0
434000,-1154.0
435000,-1092.0
436000,-1214.0
437000,-1040.0
438000,-1106.0
439000,-1000.0
440000,-1112.0
441000,-1126.0
442000,-1098.0
443000,-1170.0
444000,-1168.0
445000,-1134.0
446000,-1152.0
447000,-1064.0
448000,-1038.0
449000,-1036.0
450000,-1036.0
451000,-1046.0
452000,-1038.0
453000,-1162.0
454000,-1040.0
455000,-1030.0
456000,-1084.0
457000,-1078.0
458000,-1052.0
459000,-970.0
460000,-1030.0
461000,-1092.0
462000,-1150.0
463000,-1020.0
464000,-1042.0
465000,-1024.0
466000,-1040.0
467000,-1040.0
468000,-954.0
469000,-996.0
470000,-872.0
471000,-1028.0
472000,-866.0
473000,-994.0
474000,-938.0
475000,-1018.0
476000,-1002.0
477000,-928.0
478000,-1056.0
479000,-938.0
480000,-1010.0
481000,-1050.0
482000,-910.0
483000,-926.0
484000,-964.0
485000,-952.0
486000,-944.0
487000,-990.0
488000,-948.0
489000,-946.0
490000,-996.0
491000,-856.0
492000,-900.0
493000,-952.0
494000,-996.0
495000,-920.0
496000,-854.0
497000,-954.0
498000,-862.0
499000,-836.0
500000,-930.0
501000,-916.0
502000,-808.0
503000,-1024.0
504000,-882.0
505000,-836.0
506000,-822.0
507000,-860.0
508000,-942.0
509000,-854.0
510000,-818.0
511000,-832.0
512000,-828.0
513000,-878.0
514000,-896.0
515000,-808.0
516000,-810.0
517000,-914.0
518000,-860.0
519000,-822.0
520000,-792.0
521000,-812.0
522000,-864.0
523000,-806.0
524000,-864.0
525000,-826.0
526000,-1012.0
527000,-724.0
528000,-790.0
529000,-832.0
530000,-848.0
531000,-790.0
532000,-798.0
533000,-772.0
534000,-828.0
535000,-892.0
536000,-784.0
537000,-858.0
538000,-708.0
539000,-832.0
540000,-822.0
541000,-790.0
542000,-812.0
543000,-814.0
544000,-700.0
545000,-734.0
546000,-660.0
547000,-726.0
548000,-752.0
549000,-724.0
550000,-718.0
551000,-760.0
552000,-828.0
553000,-718.0
554000,-748.0
555000,-898.0
556000,-768.0
557000,-754.0
558000,-718.0
559000,-736.0
560000,-696.0
561000,-716.0
562000,-766.0
563000,-746.0
564000,-976.0
565000,-768.0
566000,-716.0
567000,-722.0
568000,-782.0
569000,-778.0
570000,-670.0
571000,-786.0
572000,-704.0
573000,-694.0
574000,-696.0
575000,-700.0
576000,-674.0
577000,-742.0
578000,-690.0
579000,-736.0
580000,-626.0
581000,-718.0
582000,-644.0
583000,-680.0
584000,-660.0
585000,-700.0
586000,-1048.0
587000,-694.0
588000,-760.0
589000,-644.0
590000,-632.0
591000,-746.0
592000,-572.0
593000,-624.0
594000,-998.0
595000,-596.0
596000,-608.0
597000,-692.0
598000,-590.0
599000,-716.0
600000,-574.0
601000,-586.0
602000,-674.0
603000,-776.0
604000,-664.0
605000,-576.0
606000,-622.0
607000,-630.0
608000,-578.0
609000,-628.0
610000,-590.0
611000,-584.0
612000,-616.0
613000,-506.0
614000,-582.0
615000,-628.0
616000,-624.0
617000,-532.0
618000,-914.0
619000,-672.0
620000,-668.0
621000,-512.0
622000,-568.0
623000,-488.0
624000,-1018.0
625000,-578.0
626000,-582.0
627000,-510.0
628000,-488.0
629000,-520.0
630000,-696.0
631000,-520.0
632000,-614.0
633000,-500.0
634000,-600.0
635000,-576.0
636000,-438.0
637000,-492.0
638000,-628.0
639000,-628.0
640000,-440.0
641000,-482.0
642000,-524.0
643000,-532.0
644000,-396.0
645000,-404.0
646000,-562.0
647000,-424.0
648000,-526.0
649000,-528.0
650000,-444.0
651000,-488.0
652000,-558.0
653000,-468.0
654000,-544.0
655000,-410.0
656000,-602.0
657000,-416.0
658000,-440.0
659000,-358.0
660000,-594.0
