step,reward
1000,-1686.61656058475
2000,-1579.4842097723092
3000,-1413.1015506685749
4000,-1335.3814633246723
5000,-1220.6079378288912
6000,-1100.7527045919246
7000,-983.385975570994
8000,-927.3662754470366
9000,-867.4220536756372
10000,-760.288967124022
11000,-737.947488859103
12000,-673.4685951727341
13000,-647.1963792488644
14000,-607.898605619307
15000,-588.707167669723
16000,-542.9206948261398
17000,-517.3434782024372
18000,-499.26800550567594
19000,-467.5286172236835
20000,-469.2206725349948
21000,-441.9381704240086
22000,-427.3691664073875
23000,-412.0719618233202
24000,-414.2514896925278
25000,-392.7726860012465
26000,-401.00260552842326
27000,-386.7621709999713
28000,-375.86338406735484
29000,-380.45388417285744
30000,-377.46919356160726
31000,-386.7448104675892
32000,-377.07176223950637
33000,-373.3417324057396
34000,-371.4043246074475
35000,-360.89940776820015
36000,-345.4890699771019
37000,-366.2111957522517
38000,-363.2510572982055
39000,-351.2257396222674
40000,-343.956293669114
41000,-349.7221041292677
42000,-338.7044355810882
43000,-336.06961256472096
44000,-336.5661796638908
45000,-337.95680287406265
46000,-334.3038339925956
47000,-329.6918287361919
48000,-329.6087462890694
49000,-320.450169234055
50000,-324.45649050491227
51000,-328.3981103275513
52000,-322.1845469873904
53000,-320.2518515877567
54000,-314.080527246368
55000,-314.48732310816746
56000,-301.00377431609513
57000,-307.80086821083887
58000,-298.38913307737783
59000,-303.54696517932763
60000,-295.1853116556011
61000,-288.1170036826563
62000,-293.2591894488143
63000,-272.74049768083074
64000,-272.50872968849114
65000,-269.49235041260687
66000,-269.76950416383096
67000,-273.1215988801479
68000,-266.22749657124945
69000,-274.27103433201125
70000,-271.5011925136887
71000,-268.4118055589547
72000,-262.9783340716157
73000,-262.129016193375
74000,-261.0536492970272
75000,-255.05728670359008
76000,-255.97128426929754
77000,-253.45579427893537
78000,-254.75917028706561
79000,-247.57395603210625
80000,-254.58555704538847
81000,-250.38414546541222
82000,-244.83053530778085
83000,-246.1940674348841
84000,-251.4011177262717
85000,-246.74454351200094
86000,-249.23605283965654
87000,-245.5260677207866
88000,-239.77666251904188
89000,-244.84113615493783
90000,-241.49449472553204
91000,-233.33089059575383
92000,-243.85441316226724
93000,-246.1103559965057
94000,-234.14929022461592
95000,-236.80527513483332
96000,-233.54886092549768
97000,-236.48982043549555
98000,-232.07592134923547
99000,-238.65349355302945
100000,-237.5844439504245
101000,-234.671671131604
102000,-234.5392469458399
103000,-232.35274211882597
104000,-233.6811077669569
105000,-228.66052658099812
106000,-230.84459928991348
107000,-221.06915598064086
108000,-230.36831857833653
109000,-230.00715359872225
110000,-228.65584132569106
111000,-226.05552177679687
112000,-223.83531798458102
113000,-222.086622446689
114000,-226.08634611907203
