step,reward
1000,41724.74325776383
2000,47754.19108174345
3000,45854.06635800107
4000,39450.863457891595
5000,44226.66639597158
6000,47834.51001240618
7000,41528.141059394526
8000,48423.69957198387
9000,42307.49451915133
10000,41187.55110140518
11000,47878.60260221421
12000,45281.750166815415
13000,59853.34753098488
14000,49625.24656112741
15000,43705.86330451046
16000,47851.53759166164
17000,42503.36308739377
18000,49791.957811239474
19000,44472.02651676777
20000,42408.408615973894
21000,45773.292014011444
22000,41780.74238670475
23000,47112.559536573
24000,37482.81265844505
25000,38494.83126117022
26000,44173.90857633451
27000,51484.05024447559
28000,48593.93057858208
29000,43417.54264770368
30000,51650.55366913899
31000,44557.027318666136
32000,40618.7620922492
33000,43070.37156767526
34000,47690.05857481784
35000,42435.54056639534
36000,42951.33491512988
37000,43528.45785438487
38000,45827.98421431709
39000,47360.257754541104
40000,40284.61478627883
41000,45054.58781870409
42000,51990.63411999538
43000,45583.121161367555
44000,46771.18414826125
45000,44042.96415906212
46000,47028.31037303533
47000,46734.89179501584
48000,46235.08334098242
49000,44431.01481833452
50000,49218.072834140956
51000,40957.258584631374
52000,46696.62428428664
53000,46937.43880108897
54000,46980.49142464597
55000,43097.65625488896
56000,43497.838775147175
57000,51860.88056127278
58000,40771.29052159109
59000,45567.33733734704
60000,41839.77745136693
61000,42526.73844023558
62000,48532.87835196387
63000,52831.6019414702
64000,45352.51029676113
65000,44468.396975515425
66000,54161.25207753329
67000,55623.744818986896
68000,48077.75560048823
69000,47820.92810789978
70000,47745.14282869234
71000,47357.9657708914
72000,43999.30122862138
73000,45298.9273425111
74000,47262.32213490119
75000,52918.35025450987
76000,47154.94397216126
77000,42731.85819523346
78000,48597.491264642515
79000,46504.25914100131
80000,47219.26220466949
81000,42380.94110859648
82000,41657.71439243008
83000,46246.27538449468
84000,45183.48917440261
85000,48402.763757168526
86000,46144.15032106919
87000,43295.991492628804
88000,46354.22876625132
89000,45379.477315978096
90000,37938.6923124433
91000,43388.58918581713
92000,50635.28496379305
93000,50147.52955141691
94000,42618.69751278689
95000,55944.87737586395
96000,39677.94038529868
97000,41425.60691182308
98000,47377.303800237714
99000,42286.42689352132
100000,54658.223602144935
101000,51195.45979864252
102000,48438.447984898026
103000,46751.161853193116
104000,45458.45555364138
105000,41014.38140162912
106000,44959.649638227565
107000,45391.78603980635
108000,44135.21434078161
109000,49323.46395736527
110000,46140.576686492815
111000,41309.62725093322
112000,41848.46186306713
113000,44127.77549682155
114000,44523.67734731809
115000,39768.44461476176
116000,44443.379884961396
117000,50955.798192451904
118000,43957.36903310124
119000,62171.75631952424
120000,46525.816327490356
121000,45659.26174500148
122000,40556.89258865612
123000,46596.86598458781
124000,43818.76062462511
125000,41394.61183589422
126000,43536.31456553894
127000,44538.545732403756
128000,43959.888139810944
129000,52604.10213766994
130000,50489.13153440176
131000,41150.9962929453
132000,47896.96675633747
133000,43611.245395424514
134000,42315.099609704914
135000,44334.72033103507
136000,47405.65589058752
137000,46549.73517349923
138000,45503.6703998114
139000,46557.12355448539
140000,43562.672685971476
141000,52373.80464690076
142000,49951.28439091715
143000,48296.226212313726
144000,51125.84006610786
145000,51772.59408037144
146000,50709.28239849055
147000,52398.87908918468
148000,50882.33291833469
149000,46198.806283624224
150000,49480.93044975724
151000,43593.996311041665
152000,47546.267660157995
153000,41041.15883954129
154000,44674.37527164975
155000,41242.44706317628
156000,50794.581708588536
157000,40903.27145028701
158000,49946.11626471007
159000,44241.95764099106
160000,41782.2813993339
161000,56565.05213311376
162000,47121.58415569247
163000,44665.5705848094
164000,46244.507688504535
165000,43101.47084122218
166000,43732.32946989338
167000,44913.10421830411
168000,41705.18314002959
169000,49293.364011545986
170000,48679.0466263721
171000,47177.22454023745
172000,50826.1235768911
173000,40849.41157849963
174000,49132.883402670835
175000,50811.73935475394
176000,44746.823757006925
177000,47355.00604133541
178000,48375.41469647042
179000,46693.93830721026
180000,44338.632595352305
181000,45452.60891252256
182000,45208.256349871124
183000,46275.19254933551
184000,49936.87635480984
185000,44349.524899164215
186000,44494.52776151287
187000,52340.26087458911
188000,43718.49775622006
189000,51663.56532794728
190000,53084.64262054834
191000,43361.27378221103
192000,45460.442817179486
193000,51333.9943242763
194000,47837.62915974281
195000,46350.082958858315
196000,51624.66655263894
197000,59786.69559320962
198000,41233.4314863352
199000,46747.775011785154
200000,45110.238649278224
201000,45630.968144684324
202000,45652.10791260989
203000,42531.790977179226
204000,50078.45353777989
205000,45752.985520983246
206000,45438.00016405218
207000,47509.91299191641
208000,50139.87745510936
209000,54431.57515845457
210000,43834.827914686364
211000,44625.64798633421
212000,46476.592997176675
213000,44434.72864824805
214000,45873.70987173503
215000,49131.299276225756
216000,48611.345273056366
217000,54947.838004858626
218000,48873.82746279077
219000,46776.067879542825
220000,52796.507698339214
221000,44915.70707557836
222000,47203.76496380047
223000,54473.337377182565
224000,46561.950513964875
225000,45272.0545093033
226000,50446.45741027433
227000,46544.68743069818
228000,49664.01014570573
229000,46875.61298536667
230000,51749.28176994723
231000,43991.200297790085
232000,46512.12280808227
233000,43391.32496713208
234000,49188.144483670825
235000,48355.84375506712
236000,46862.6009925911
237000,48927.16899126788
238000,43501.24709761912
239000,55990.22484065698
240000,49100.87541656077
241000,43396.47748678718
242000,44975.26707944802
243000,45668.07415430082
244000,40109.390322758896
245000,44222.461139401144
246000,46409.29712485723
247000,53015.913071693496
248000,46313.17642026908
249000,44098.61815255649
250000,47270.4833351019
251000,47840.35923953096
252000,45238.75811863488
253000,52155.60648019149
254000,49163.221489950694
255000,44945.84039305279
256000,47176.499233175586
257000,40475.1782594247
258000,46696.67466520923
259000,48949.955432955285
260000,49141.450827583896
261000,46526.70659926207
262000,44974.00085923835
263000,42910.960824249916
264000,43156.70131068829
265000,50541.616465061525
266000,49024.318952750924
267000,53423.99518051598
268000,52276.21398815511
269000,47862.370144492765
270000,46370.200458909865
271000,49704.78299535214
272000,43350.2039586956
273000,40759.99978863369
274000,45535.59954213045
275000,55340.670287573485
276000,46044.698307945524
277000,50227.32087131032
278000,47257.698026039776
279000,45987.51603587154
280000,45344.99566445031
281000,48376.16704886131
282000,46643.731111525514
283000,54497.6461147643
284000,46408.77679452541
285000,42579.83857872486
286000,43058.275326461626
287000,43536.29597533088
288000,45737.81395259412
289000,41544.51775659946
290000,52776.633184697006
291000,44024.879193630055
292000,57584.55367361756
293000,47500.35617604839
294000,45129.22129216764
295000,45255.14998986747
296000,45008.093345638226
297000,54760.66217807637
298000,68909.74338436774
299000,47833.72481713934
300000,59517.81912167083
301000,45497.00626260604
302000,47803.45818069635
303000,43602.73344957876
304000,52075.50727550821
305000,45545.5232384526
306000,47502.639486769025
307000,52101.33084079035
308000,48191.257662546894
309000,54887.13996919603
310000,52950.784503240175
311000,55488.58892503141
312000,56572.30460774493
313000,43272.699103958534
314000,57383.30796609153
315000,50759.92067755891
316000,52630.850231877914
317000,57200.18265383242
318000,44735.48605421836
319000,48880.91743139197
320000,50018.966520987924
321000,55826.20466082645
322000,61970.880010360306
323000,54218.95660680605
324000,47779.2713400448
325000,52541.15188333303
326000,56818.71947767317
327000,44476.11098527699
328000,49505.58931493741
329000,42543.8941731096
330000,44974.936284718606
331000,45729.89777247675
332000,44139.012096489314
333000,49097.6892030937
334000,53759.772274231575
335000,49785.135350747245
336000,48347.025987708366
337000,47653.203266164885
338000,42472.12059490003
339000,50328.24439135251
340000,52533.45493757387
341000,53436.84829801208
342000,47271.02113351816
343000,50580.39572081828
344000,49478.321740334206
345000,45135.24956462312
346000,50121.481547686046
347000,49542.0249673382
348000,41384.4006309236
349000,48830.178376173266
350000,53378.94449107246
351000,41270.6528996494
352000,52067.44444502462
353000,47218.39708345636
354000,45064.93044379113
355000,45248.07712303405
356000,46408.87955852602
357000,47337.014968154355
358000,46756.18422983766
359000,43630.13419371674
360000,49657.52091973257
361000,56286.070184306394
362000,45980.5058581513
363000,44756.25559698537
364000,41570.8828130585
365000,46861.77382562724
366000,45217.08851506832
367000,41113.4366240781
368000,44003.10202091704
369000,41873.99075275665
370000,49418.42312043081
371000,48893.91441510626
372000,48615.153916267285
373000,49066.120185560794
374000,47347.880332796
375000,46426.23882688124
376000,47943.7206650661
377000,44037.738429170575
378000,47603.582937548585
379000,46592.41473854168
380000,45143.75821437072
381000,43633.693830946344
382000,47827.36687724085
383000,46161.61228551374
384000,50190.68586450807
385000,45808.16013762787
386000,47349.435529112976
387000,48361.45312285776
388000,43627.433949938364
389000,47830.39468181163
390000,52255.34569902815
391000,49779.745681309796
392000,49341.59365924196
393000,46725.08390972884
394000,53596.595105118926
395000,55605.71988267809
