step,reward
1000,102.78204324302122
2000,105.7321046299673
3000,111.69876461571883
4000,106.72991091375587
5000,119.69159878548264
6000,117.10757253217932
7000,110.91128259930228
8000,112.7888009117233
9000,130.14506962375268
10000,112.84290128162263
11000,123.82356409877772
12000,122.1135139594441
13000,122.6047314498245
14000,142.6186794811722
15000,134.59201364580667
16000,138.62659319760868
17000,129.28834197780535
18000,125.36518354920652
19000,142.61425167062987
20000,141.9916005171617
21000,181.8806434538171
22000,141.58613426414692
23000,156.0243257607002
24000,191.46326161361125
25000,151.3751048839287
26000,179.54656157869098
27000,186.22339060658229
28000,188.9804145155025
29000,203.7822011083866
30000,203.70885533400025
31000,221.63121165318162
32000,243.94148891472813
33000,254.53841888870556
34000,256.822865405016
35000,230.69610014252473
36000,270.1698488305083
37000,203.32986928946207
38000,242.51848552005552
39000,281.7503115347392
40000,255.59785003696035
41000,267.03488515824915
42000,293.87827051066887
43000,231.98514062408267
44000,284.54353279325557
45000,287.61277465799566
46000,294.9389205202987
47000,323.7638591391062
48000,254.3800943725063
49000,292.5991598731396
50000,278.1471973574808
51000,291.0105016735317
52000,321.9437236508591
53000,336.67151239144994
54000,318.31875045624605
55000,336.76618324763507
56000,323.91246624896127
57000,325.2222150701842
58000,317.2454480881523
59000,296.51441773153675
60000,323.1322022838942
61000,279.4708277547494
62000,342.3924400935599
63000,324.7457007026807
64000,289.3387593870115
65000,326.5440015610885
66000,338.2719381670603
67000,332.09773811664786
68000,302.4437068406303
69000,315.9179332230511
70000,358.72588731253705
71000,351.16715378475425
72000,364.1299417569063
73000,358.6428323487426
74000,347.55485088324747
75000,345.62089344792986
76000,354.53333193133864
77000,367.67443034445785
78000,340.5312218533641
79000,351.0344507025997
80000,337.82687266894516
81000,387.74198559766444
82000,467.2740718148023
83000,328.9953265026005
84000,347.49418428852243
85000,347.54693278430597
86000,319.43210813124074
87000,421.31653512649973
88000,355.4758305489076
89000,336.7981202929401
90000,351.29964778385016
91000,325.0638965456901
92000,326.1020024352433
93000,366.239732915829
94000,346.5231190517794
95000,398.49956669392856
96000,380.37836839845863
97000,312.77909045091235
98000,352.2233444630647
99000,388.7204987971561
100000,421.74686009195625
101000,321.7670496362833
102000,351.96420660904914
103000,373.9204538194039
104000,336.23701723356277
105000,367.26458635986097
106000,355.6712292025759
107000,390.2674031738384
