step,reward
1000,-108.39521883038749
2000,-159.58108621528555
3000,-199.1108909669176
4000,-210.27591590962567
5000,-158.8766702968355
6000,-139.92437847924003
7000,-156.57603827277256
8000,-170.93768320008303
9000,-175.36411279561995
10000,-654.4600229299328
11000,-140.5732954056196
12000,-213.49798426699854
13000,-323.2518445053924
14000,-212.80554377602897
15000,-498.3560035516101
16000,-162.05520632929296
17000,-200.5769633288622
18000,-133.55612694006305
19000,-171.11283071791306
20000,-127.45616190347016
21000,-157.44669266666014
22000,-157.25576432130248
23000,-4307.315819978488
24000,-210.00000102080563
25000,-201.03651436131437
26000,-124.89567438193046
27000,-156.5979509195365
28000,-111.92730805134974
29000,-4248.309796478516
30000,-42.65330777276026
31000,-148.21931790454647
32000,-166.13772831531335
33000,-137.80533918249301
34000,-146.6778093716054
35000,-185.31249544812033
36000,-173.2811840358535
37000,-128.93132098932
38000,-129.74048467500864
39000,-136.66937142021135
40000,-165.8531836053617
41000,-140.95592302380217
42000,-143.3616500997433
43000,-146.7259296936115
44000,-143.79866124233078
45000,-192.2078638855674
46000,-146.23038623710957
47000,-118.47512768540619
48000,-124.53435210481142
49000,-104.87429782781324
50000,-100.96199461738115
51000,-117.35433107404499
52000,-140.43389645196436
53000,-107.30730466129967
54000,-141.38741989187264
55000,-151.7552753436559
56000,-133.5725682102391
57000,-132.99295599072346
58000,-153.04342268531576
59000,-120.8376025781687
60000,-180.28542877277465
61000,-115.68898756713696
62000,-89.14082709776467
63000,-112.34508716019319
64000,-132.9841142152881
65000,-116.28738441935221
66000,-121.40052129825708
67000,-98.14168194375108
68000,-117.10837381447939
69000,-87.47093873283697
70000,-3335.4598915993934
71000,-109.57827180746263
72000,-343.487169760724
73000,-109.90771145746776
74000,-100.9857287668044
75000,-92.35683047800623
76000,-93.43384895012565
77000,-119.76189553902913
78000,-91.37831663192947
79000,-121.83483944265505
80000,-121.98858633632938
81000,-95.25851797650323
82000,-88.67778691226029
83000,-178.59279593045534
84000,-158.45314482324815
85000,-85.14765775226711
86000,-99.70063285087498
87000,-52.25539889279334
88000,-94.3302006947802
89000,-115.40024214498189
90000,-96.61478741238406
91000,-88.0442020878222
92000,-80.06261492073929
93000,-130.74256814032216
94000,-77.83089543949237
95000,-304.91205357975394
96000,-71.75429866282757
97000,-102.98278588283041
98000,-87.79725112088575
99000,-132.0494754810018
100000,-99.55444462693733
101000,-100.0146904118401
102000,-87.01949212733422
103000,-65.72089032368835
104000,-79.76200691140741
105000,-78.74866857441852
106000,-74.47438204112703
107000,-81.61069356242032
108000,-74.72292698666445
109000,-462.73395273923774
110000,-71.72871013393984
111000,-147.94825201912408
112000,-94.14225857703993
113000,-92.94424984014105
114000,-137.02557014437792
115000,-93.32681674688983
116000,-89.2895325293912
117000,-72.56688609553653
118000,-53.96582259642955
119000,-75.65194812581565
120000,-95.73856978105408
121000,-78.80635101756565
122000,-86.0929521358093
123000,-67.4364600578536
124000,-88.55822690776156
125000,-56.66576722376944
126000,-62.772340252724085
127000,-120.04739331513281
128000,-79.38184231803213
129000,-134.51049151636883
130000,-74.55863856478426
131000,-72.21576654399556
132000,-75.7265789376775
133000,-83.00300762900466
134000,-66.16100796135346
135000,-60.90391677688771
136000,-77.50131229058597
137000,-85.16607546623597
138000,-66.74841471608072
139000,-65.55833716600485
140000,-59.13623124151518
141000,-53.87975418343123
142000,-75.9435455566965
143000,-62.66856971557388
144000,-60.47241918086865
145000,-66.44785662457139
146000,-88.78190307113015
147000,-68.31896614534809
148000,-60.25628424333847
149000,-73.45022047951754
150000,-66.87598215408666
151000,-71.1516877422843
152000,-78.86554891197967
153000,-77.04475760668478
154000,-48.81421121847723
155000,-73.8149226530466
156000,-69.74056445604987
157000,-75.76249288914906
158000,-84.4209727676447
159000,-64.43595990549073
160000,-56.76132427789796
161000,-79.83324253823004
162000,-51.434900926725454
163000,-74.80379426319716
164000,-77.9806314640717
165000,-69.8763819094237
166000,-74.65762029893733
167000,-57.06574249493497
168000,-67.49741168562444
169000,-56.27449898575902
170000,-56.748754573421046
171000,-55.675574737203014
172000,-46.471745566759495
173000,-74.22551569504016
174000,-62.742697635401186
175000,-73.75311948268406
176000,-264.7044407310246
177000,-62.706372168137555
178000,-81.72242341883317
179000,-74.31115252391297
180000,-138.0911104763965
181000,-1009.0541168594475
182000,-51.432444040562075
183000,-45.2523641205234
184000,-79.50701950247556
185000,-52.92395210828682
186000,-56.71068044280795
187000,-76.59969138379574
188000,-50.82858364829912
189000,-46.28354739507158
190000,-240.47296955432913
191000,-58.853160489798114
192000,-72.76210593820225
193000,-48.98492972119223
194000,-59.025515652427146
195000,-55.12612196591629
196000,-63.846072962289995
197000,-41.069735000583385
198000,-47.66097629902081
199000,-42.6524827951239
200000,-52.260481193904845
201000,-47.26131589553661
202000,-65.43007995406953
203000,-38.664023169317886
204000,-48.5662510089237
205000,-66.44465337065107
206000,-56.36824025836502
207000,-39.56918273196173
208000,-37.78747291187124
209000,-47.32455002908794
210000,-35.98121554573313
211000,-40.59430932731861
212000,-37.45157071242527
213000,-33.61722109795121
214000,-81.67541759139999
215000,-47.71692337430761
216000,-42.88709179023367
217000,-38.15090956008723
218000,-50.63983675748794
219000,-38.21780191448373
220000,-39.61589736749033
221000,-36.89155488461436
222000,-39.44943860355582
223000,-44.27879429106895
224000,-37.47466473726965
225000,-40.262575537000416
226000,-44.48353208457981
227000,-40.99846758005019
228000,-61.41439559759163
229000,-35.267323952232495
230000,-35.17305945780889
231000,-32.4997400167311
232000,-38.88061340154516
233000,-60.288059777885906
234000,-62.24422522466493
235000,-33.507129100038576
236000,-27.63217385135173
237000,-39.997876559808844
238000,-30.71482069665647
239000,-32.78534160286895
240000,-25.382244815963475
241000,-66.09342833585097
242000,-41.023162175567705
243000,-32.298824594159434
244000,-33.12618077150143
245000,-29.084627210167433
246000,-29.819402534258252
247000,-31.270438112974524
248000,-38.2345660458789
249000,-24.13807789735835
250000,-31.580108397069026
251000,-28.592702060882164
252000,-26.00770193232904
253000,-36.71455759567304
254000,-25.04330742667761
255000,-28.329609202739253
256000,-18.19061765288818
257000,-27.546342833623033
258000,-21.383965726025625
259000,-27.753508515333305
260000,-23.548057880413943
261000,-26.775178229194815
262000,-30.02036075267052
263000,-22.742403928773008
264000,-14.657621291352593
265000,-20.085545197737808
266000,-23.145110868042202
267000,-20.818349918673377
268000,-11.26468508067906
269000,-15.113836582570237
270000,-19.504901312059104
271000,-878.1003937758553
272000,-17.876893946997544
273000,-11.553984228446057
274000,-8.34491219724615
275000,-12.511846993885015
276000,-17.96002008425593
277000,-13.065689763146816
278000,-50.92206167715745
279000,-29.502639471828136
280000,-8.014436734239572
281000,-18.73267572152889
282000,-13.076505384847538
283000,1.8293381155721837
284000,-9.547915770096479
285000,-9.716025813622434
286000,-15.25586203386332
287000,-17.405394821357607
288000,-2.637792482148027
289000,-8.63722368387251
290000,-6.943888628754145
291000,-8.302904123130562
292000,-2.3598719090015683
293000,-7.03900861056568
294000,-10.097488493698691
295000,-7.420486166347338
296000,-9.474700578868704
297000,-4.000474113815748
298000,0.6057663983726299
299000,-1.3852442097965985
300000,-1.9818885056283835
301000,-1.4878131160154533
302000,6.320465848777542
303000,1.0164899063642863
304000,2.7681821334731755
305000,-0.10605367990273865
306000,1.053155368324039
307000,4.835088596074845
308000,7.3573776871493575
309000,3.7531354975773787
310000,-286.5624802848288
311000,1.1101483832602672
312000,3.0107304170932894
313000,8.42123364445477
314000,5.015075229522893
315000,8.105676385287579
316000,4.246672516409845
317000,7.217076742303502
318000,-1.8158024476269736
319000,2.5436901837340216
320000,9.183636405916966
321000,11.273063823234219
322000,7.490739111700327
323000,6.202941480330936
324000,7.31394736327101
325000,12.888910853065417
326000,-3.36845866532354
327000,18.33079431618136
328000,11.801274447592514
329000,9.634095219037963
330000,16.04445941524193
331000,14.191245779393928
332000,16.532197985106205
333000,13.306534405482198
334000,18.56577835135705
335000,7.567539100666402
336000,24.24535833857588
337000,23.68492959842213
338000,15.655232887739011
339000,16.72064534731369
340000,2.592696354553022
341000,8.122155724658798
342000,8.15638115942685
343000,29.344332844574797
344000,26.280095873132908
345000,19.668306606020817
346000,14.99257431392031
347000,23.05592068214816
348000,25.80553705739432
349000,25.533033059603987
350000,18.272737619755745
351000,20.48310432173132
352000,17.18397113726848
353000,19.162069722804898
354000,11.042884952481723
355000,30.11364890408542
356000,31.450042762573915
357000,16.05601490129542
358000,26.659081782094425
359000,-2.7694225723456514
360000,16.65355380408206
361000,219.08385842836034
362000,11.526424260738446
363000,17.138702241168737
364000,36.873115652238866
365000,19.250609446421862
366000,40.59383314658457
367000,31.152034569650844
368000,232.717672513849
369000,32.370174699940186
370000,31.496982504316982
371000,26.06117151003849
372000,256.2476230365259
373000,14.839811105345754
374000,259.6355304045621
375000,97.00114805351134
376000,40.22261758650692
377000,79.10908221178484
378000,38.78079836113239
379000,271.899125476107
380000,23.234479669407122
381000,50.66650321076586
382000,50.338967418422975
383000,29.022060528927756
384000,39.38350043245802
385000,61.76935986209913
386000,37.10029950185372
387000,61.95031325944779
388000,27.85756666235019
389000,21.11464384927264
390000,47.3257820571317
391000,56.9371441417197
392000,45.320407008990465
393000,52.05611260230876
394000,36.54854747182663
395000,45.207694659549894
396000,69.47449506548107
397000,43.21223148459944
398000,38.41853494010251
399000,133.63690281765128
400000,55.550930284503636
401000,38.00638766099031
402000,28.577285359754843
403000,16.584540293879332
404000,58.52187200679132
405000,41.27075756341696
406000,68.2818260922781
407000,57.735515110205704
408000,103.67783127988596
409000,27.96326545491465
410000,370.7177047869988
411000,72.1932813390436
412000,71.64292312525518
413000,90.14690512753435
414000,50.02624123356488
415000,43.11615918130095
416000,87.22907115029356
417000,42.26997947626119
418000,5.015737090835484
419000,44.8961953313573
420000,95.58608347176036
421000,81.56571176825994
422000,70.3392799507228
423000,58.310874496884935
424000,82.77172855232945
425000,89.58848345388022
426000,356.2393155499486
427000,120.43525368208954
428000,32.22274069456001
429000,70.53959243050375
430000,78.05525746286901
431000,34.35429768719239
432000,82.64077200667533
433000,65.27894688494798
434000,81.41206410175488
435000,88.18648935647914
436000,66.26136589268037
437000,38.66626813531426
438000,121.58920981622546
439000,80.35113553862794
440000,56.19888380347325
441000,59.68225843734648
442000,39.88092575005301
443000,153.32232427352503
444000,85.73055060682144
445000,126.75403271946124
446000,148.6262512351217
447000,87.1189768332931
448000,114.38159801222639
449000,86.06270823722134
450000,89.10605759850917
451000,137.2116829728331
452000,551.2397598357172
453000,22.303187647451296
454000,429.6470591003712
455000,65.13721983045752
456000,165.44876042325112
457000,118.51162187622208
458000,48.52874304623617
459000,100.13111826882256
460000,137.32248085312656
461000,485.2207228278466
462000,127.49448284669532
463000,108.99251164698252
464000,91.34093570929085
465000,90.83546373037974
466000,57.48427320422461
467000,186.86573881368815
468000,560.7684913722408
469000,167.40809232155848
470000,68.45460204494816
471000,107.53518455379714
472000,191.49043401856133
473000,62.94252224295122
474000,101.75432054876399
475000,184.50539592601478
476000,106.40887072308988
477000,354.0881798399781
478000,244.69224139707674
479000,203.7587813703141
480000,757.8542962908693
481000,365.78251592889075
482000,144.1872620407419
483000,243.94330925357903
484000,401.88410543192987
485000,574.0515147599729
486000,186.58124370403866
487000,262.79303852470514
488000,103.17040898019039
489000,131.69613732406216
490000,135.5397828655587
491000,780.301844517804
492000,592.1377362964215
493000,111.44500470016426
494000,161.44508338000915
495000,164.07177513692545
496000,58.71346559007368
497000,397.6523428838501
498000,301.90813135277494
499000,44.53391429608034
500000,10.360800826181181
501000,159.34960475555778
502000,800.1467601380482
503000,484.78834703260685
504000,782.1787998231206
505000,519.7509544835035
506000,162.13309706429786
507000,127.07655189741274
508000,538.404275804043
509000,324.97371033786953
510000,371.2586276051675
511000,125.87299278260465
512000,404.04535626130394
513000,216.2364373244532
514000,787.8199175745011
515000,117.7068178935684
516000,481.49590220015983
517000,798.4943000673704
518000,806.396798165233
519000,595.557406951014
520000,515.3525879600707
521000,194.14391816209343
522000,661.0208234068989
523000,259.15407686018557
524000,957.640849417404
525000,327.9727440137022
526000,832.8998011502367
527000,157.65185524073746
528000,625.946807155426
529000,191.7083607718642
530000,170.3852522959295
531000,226.1096241800895
532000,432.5931325400262
533000,231.68803002647047
534000,141.16306474560668
535000,304.3275708449355
536000,248.52927697298745
537000,814.5328145264367
538000,166.67275366191254
539000,292.6421088857437
540000,1067.9644163811683
541000,122.2777494431775
542000,253.6982738323306
543000,196.65790479767233
544000,996.2837151257198
545000,572.1263960699338
546000,93.71620153577474
547000,683.6927857292613
548000,836.0646445866386
549000,586.0792489507246
550000,219.15239760581184
551000,573.1846379854327
552000,975.3831753305708
553000,652.5099139929281
554000,445.09398249654254
555000,593.6554095380997
556000,221.39513729327552
557000,666.8678117677096
558000,274.97284532879377
559000,919.8376776570719
560000,508.605366254037
561000,555.34214221706
562000,797.4028417862
563000,1014.8614033760609
564000,270.08141562904086
565000,666.3823932970718
566000,558.4229227540629
567000,354.37588403150346
568000,581.8013207400185
569000,768.8401129202642
570000,296.6450840418565
571000,897.8697078910158
572000,589.9342542861845
573000,273.0593534806401
574000,400.57109033056577
575000,1090.3392625045258
576000,183.2499267969912
577000,863.5736751011725
578000,540.0734774048811
579000,605.2041777778138
580000,1041.8189464584834
581000,514.9268949608364
582000,790.5030749278833
583000,218.46746109266158
584000,874.3551906868961
585000,464.13330850976706
586000,381.052779820551
587000,78.57649197837968
588000,331.09947840523205
589000,124.20871188252188
590000,703.9760169043847
591000,289.9201921693942
592000,482.3638845568076
593000,1044.066861985643
594000,76.09298468835135
595000,938.5548912307704
596000,308.6169924964622
597000,1043.3114833876016
598000,352.4114396530873
599000,887.1373422494169
600000,923.5591928648953
601000,504.0246472869063
602000,1076.004221875103
603000,1028.2148110727678
604000,108.1176941831312
605000,974.8926350839074
606000,520.1734899228288
607000,902.0978583852583
608000,1108.6106273048204
609000,720.1261270300171
610000,352.1707843324623
611000,561.9674092401759
612000,818.6956312615511
613000,846.4808626687308
614000,887.1515416121173
615000,807.6269408353868
616000,552.7280173092729
617000,1187.6153713660942
618000,919.9057527046401
619000,270.18850030418696
620000,965.8318348998746
621000,355.9148797304048
622000,208.6872636254768
623000,796.4179669442095
624000,944.2937844413514
625000,331.36671463613396
626000,1317.2548795458738
627000,213.47059907571148
628000,415.39445787364036
629000,639.1064578611542
630000,831.0899765224
631000,960.2263923420396
632000,1111.4745130704753
633000,1166.6997538563646
634000,1078.8455738279217
635000,331.68141706356926
636000,176.0892509908905
637000,1307.7429868783684
638000,771.8510850310865
639000,1033.1272727068522
640000,718.8794226354355
641000,744.6897449936257
642000,476.63974671165107
643000,612.5143150178525
644000,1064.0661335478121
645000,494.3145891458112
646000,562.9945256298704
647000,1146.421045663873
648000,1193.0525031589218
649000,1209.9831408202767
650000,1008.0780529684196
651000,466.137652642065
652000,648.6965041911277
653000,1150.8525881660964
654000,1245.7087267218976
655000,167.8364455576363
656000,862.2259502526631
657000,121.46384820040917
658000,1202.7235590924477
659000,826.6984052625885
660000,164.65837560768105
661000,610.6226109152208
662000,1025.497085439319
663000,1311.0152671545457
664000,1160.89514515145
665000,123.20000045389085
666000,746.1057505361792
667000,667.5517542707314
668000,679.5924516416021
669000,568.062796785536
670000,1283.2110466911372
671000,1088.8720965988377
672000,1220.1817786446334
673000,1287.863978134787
674000,1388.5054430386747
675000,1273.6766776898971
676000,402.98974348724425
677000,1299.1722886986286
678000,1244.4035076216987
679000,660.8156820576337
680000,1215.3906121348891
681000,115.57943869288428
682000,1298.603140989181
683000,360.85385028500514
684000,832.4770088676455
685000,1229.3917679404958
686000,663.294448632864
687000,1163.0840665481046
688000,744.962208194749
689000,1318.8313303715129
690000,1062.065796642934
691000,753.3886363579833
692000,1256.800055520281
693000,1133.9262938514814
694000,621.5026499402203
695000,1390.7841023856306
696000,600.9751966070289
697000,210.24113163981056
698000,704.7753994793478
699000,1268.1483406544962
700000,690.0687688809036
701000,1333.5828808007573
702000,1275.8821702246773
703000,658.9606078588313
704000,889.0797674256986
705000,1060.5149070074283
706000,1179.3578585543103
