step,reward
1000,-1108.4842162746716
2000,-976.2390699470228
3000,-1165.1435473707681
4000,-982.4191269220579
5000,-995.7064642143068
6000,-1067.4800267504206
7000,-955.8203231640113
8000,-1135.1644376326167
9000,-1018.3674332573298
10000,-909.899136468566
11000,-991.1755811876689
12000,-997.8338580030437
13000,-919.1845635831581
14000,-967.894156508601
15000,-887.9888646516972
16000,-909.484684415183
17000,-822.6508142156391
18000,-782.415093374266
19000,-808.0701813604935
20000,-783.5052943932883
21000,-886.062355030112
22000,-775.4776999259278
23000,-887.2937848311221
24000,-959.346481842301
25000,-858.6722928323379
26000,-889.6872261041909
27000,-773.9032547971105
28000,-854.3398185535498
29000,-966.9945582334014
30000,-857.5856211585958
31000,-895.2192112139716
32000,-779.0152845145839
33000,-725.0503009093741
34000,-621.7566516833489
35000,-823.8632827599749
36000,-705.4087533610508
37000,-898.3566404395881
38000,-830.219126510828
39000,-828.0233330755264
40000,-713.5390338009239
41000,-831.7161752611235
42000,-800.4478186220414
43000,-855.6997256404549
44000,-860.8786571852693
45000,-713.4674000372886
46000,-805.8111122537204
47000,-831.2131304551135
48000,-702.2236703381055
49000,-756.2452751578785
50000,-704.2899875329747
51000,-834.365919395536
52000,-849.7068567518686
53000,-638.753472854414
54000,-743.0348384204551
55000,-780.1551494833807
56000,-730.5967778124708
57000,-801.7019781958999
58000,-641.0085239683859
59000,-720.8556848613073
60000,-669.2551474492091
61000,-611.3192468033437
62000,-686.6931054062261
63000,-663.1900385195272
64000,-734.1279421232761
65000,-657.588453596176
66000,-781.7090058154629
67000,-736.7682925045806
68000,-699.0411921601192
69000,-726.4714922075785
70000,-561.1828876530645
71000,-641.8827576784164
72000,-541.7274701977516
73000,-659.760420756759
74000,-729.5101309648767
75000,-742.9223017866266
76000,-621.7308904495786
77000,-460.0800147416475
78000,-641.7569500458392
79000,-652.6943852635017
80000,-683.5672637494578
81000,-560.8379974766511
82000,-569.3450799748676
83000,-556.2422005857204
84000,-637.4041295789754
85000,-535.3694467612319
86000,-635.5072336285614
87000,-530.6083749089033
88000,-536.6762958349694
89000,-640.3089692131134
90000,-565.1166486811719
91000,-538.798557563214
92000,-510.7690805919404
93000,-559.2848327297796
94000,-552.3063819890712
95000,-493.6704318823813
96000,-605.3758378714283
97000,-513.5615987175428
98000,-361.91348686034377
99000,-512.2126806779247
100000,-531.2248037031814
101000,-555.1866852719953
102000,-524.6252386072124
103000,-613.3812523567253
104000,-527.0390872438808
105000,-615.0477582626169
106000,-562.1530669565371
107000,-485.97605970794143
108000,-477.4196522338531
109000,-492.3751466226178
110000,-484.7395491646484
111000,-474.13125168775883
112000,-506.2055704497516
113000,-441.20644727206854
114000,-463.8414407242169
115000,-456.2420616924744
116000,-484.29343720728275
117000,-490.626552220824
118000,-447.5445944001999
119000,-469.6772775733618
120000,-489.3045546830633
121000,-458.06727109431506
122000,-474.495248375238
123000,-503.48455712537765
124000,-491.6902729280185
125000,-521.6560352452501
126000,-342.9221615763089
127000,-464.8075770042756
128000,-449.35155837640474
129000,-431.2578807101424
130000,-445.3888012396158
131000,-370.8803885887332
132000,-336.8728290643831
133000,-453.7250984777141
134000,-432.0617564103947
135000,-395.16877367729285
136000,-421.61538583715856
137000,-366.1239821688537
138000,-402.3985494443785
139000,-357.8634818931862
140000,-545.2496639751462
141000,-464.97943696050265
142000,-419.4414881428692
143000,-407.81912328574583
144000,-328.34989613667636
145000,-353.5760639410371
146000,-418.95197689543534
147000,-388.6414268610016
148000,-477.08471589974783
149000,-381.7161983624674
150000,-382.970635180173
151000,-457.2972274287129
152000,-453.41891729409673
153000,-333.82721352983486
154000,-397.90988381028416
155000,-236.35604636179724
156000,-324.660544366751
157000,-357.6484367608376
158000,-361.42004867996275
159000,-326.63939303701227
160000,-362.996291426435
161000,-418.4950215147738
162000,-330.1159460486755
163000,-275.51353105036065
164000,-333.22496492315435
165000,-331.5229489044261
166000,-414.9601452429987
167000,-301.34749397153917
168000,-308.4675527596224
169000,-235.68708186133202
170000,-393.37873608754467
171000,-214.69745531747753
172000,-237.48013194446838
173000,-257.12444904409585
174000,-291.64353763973673
175000,-313.3845413386341
176000,-171.27708960315186
177000,-228.50155177029825
178000,-242.04689113233633
179000,-270.2759517855883
180000,-218.4698814164301
181000,-160.81809054278395
182000,-158.19256726582245
183000,-354.22859706615486
184000,-205.60643055791425
185000,-175.44583938107155
186000,-189.06430692424166
187000,-204.879849087871
188000,-141.23316366864526
189000,-118.42477315701015
190000,-277.3939893759711
191000,-156.85329154381827
192000,-143.36063921699198
193000,-113.36702319843596
194000,-170.11977789353844
195000,-124.21967473612872
196000,-97.16966284496067
197000,-42.147675185365195
198000,-46.161768039189816
199000,-36.18970638357237
200000,-105.0861693086715
201000,-6.612859956386131
202000,-39.2482465520217
203000,-110.93362964721648
204000,-61.39377933922734
205000,-76.8930334269904
206000,-156.89627496658153
207000,-22.859524415315835
208000,3.4249318314103565
209000,-104.94044762930702
210000,-26.784039341105263
211000,0.5374485067456605
212000,11.21830552318523
213000,-96.25064216568707
214000,65.09458147198067
215000,76.74792603087559
216000,82.29705371703304
217000,84.72454934053346
218000,111.23082790235416
219000,32.74843763005367
220000,16.805155848217982
221000,31.520771731207656
222000,75.75656282781829
223000,65.14889574275587
224000,78.09037152902245
225000,118.68356456222023
226000,63.57361131618148
227000,107.14371709282794
228000,153.26468870424196
229000,98.9261828481963
230000,147.30506174479646
231000,169.36485505962597
232000,173.87265559051636
233000,173.59452817224883
234000,220.95215124192836
235000,143.4797304745969
236000,137.32321507662633
237000,237.24419560043506
238000,204.9975642327075
239000,51.27901404923186
240000,171.6679097068
241000,207.163907950353
242000,194.2819455520372
243000,159.0748922720403
244000,297.1004455640629
245000,204.01220562548096
246000,203.11156567053854
247000,228.43800033283893
248000,276.04221970156243
249000,211.8414851771729
250000,248.73758659135757
251000,259.3409056329528
252000,283.9006597252847
253000,298.9110546998149
254000,123.86521644797938
255000,308.8526988019959
256000,260.9056228635847
257000,235.28668257049551
258000,220.4982574347743
259000,202.34223548240197
260000,83.64743693565951
261000,274.2759477168459
262000,278.87366442048864
263000,216.6381543571322
264000,158.17013463341254
265000,253.04741718484362
266000,276.2749076990708
267000,430.83608422911664
268000,323.1181603966185
269000,331.7810086050214
270000,369.81782028657824
271000,412.6925698199609
272000,242.53490129134886
273000,441.41723349635896
274000,368.6968385002536
275000,312.2621456876834
276000,359.8240438403905
277000,230.12510814545269
278000,317.02375620084
279000,390.6509080825546
280000,372.9075807093152
281000,323.74012140998667
282000,314.6486656326848
283000,437.27676006352374
284000,324.2790493239005
285000,398.00793893406956
286000,358.2438836483427
287000,404.94730113613775
288000,322.40043238088253
289000,377.6259077091471
290000,237.73744563148733
291000,420.1868560060178
292000,370.2600768388437
293000,388.5560979438706
294000,418.72595465231353
295000,431.71092954685844
296000,377.57155014114693
297000,449.82791235229206
298000,387.74378173296
299000,349.68698454867473
300000,472.03323302861634
301000,427.98197994954137
302000,276.10136887454195
303000,373.5314003392209
304000,396.6296739013052
305000,418.10699245800043
306000,356.2227291339492
307000,482.83031932154375
308000,457.14824231994874
309000,348.6799253360223
310000,445.0723064161218
311000,470.42195311431993
312000,345.3145194305712
313000,440.49682435315214
314000,423.0973465068742
315000,419.0243627292872
316000,429.7894971044635
317000,507.99618000434936
318000,474.8415948714853
319000,376.1266937775389
320000,449.7600710589482
321000,455.81332705369437
322000,460.5384173895551
323000,401.9880012090879
324000,455.8349523144306
325000,514.9178284025035
326000,491.93168550249743
327000,447.89476610568937
328000,486.5189102514355
329000,561.0351642849002
330000,520.3465540202537
331000,404.38763046657385
332000,492.2726362065725
333000,491.537263136328
334000,569.300467609527
335000,405.77131196784535
336000,616.200822082103
337000,403.3154020770128
338000,384.42675756038784
339000,520.0418631990066
340000,453.94535032948437
341000,504.85145730687697
342000,418.7918815542798
343000,428.5118887209072
344000,435.4614400810138
345000,549.1804301552081
346000,484.47875161057993
347000,542.5960607840843
348000,502.4396349035135
349000,427.0392057268978
350000,540.5396537351029
351000,581.0403291813875
352000,561.1256826889381
353000,541.5471365637228
354000,562.6237730410048
355000,489.8956363687936
356000,573.6507693755841
357000,431.68730736467154
358000,570.3304705510752
359000,528.4496061459686
360000,540.4057559796286
361000,505.02438143222355
362000,499.8534643533229
363000,483.6744503283061
364000,616.9311096548049
365000,624.4135943219787
366000,533.680359314705
367000,510.16783105563565
368000,426.5237719021227
369000,560.2196049195188
370000,519.7298197105206
371000,550.7696929780266
372000,551.5429176457368
373000,547.4742781904988
374000,581.5209701496451
375000,552.6691170403591
376000,528.1649573799513
377000,479.0665743424014
378000,531.4289068943394
379000,573.4251678154841
380000,578.916875542887
381000,562.1097231858639
382000,645.9769933476925
383000,619.4582669039344
384000,457.1259178871924
385000,586.6235444775704
386000,693.2385667456907
387000,630.7560418477343
388000,632.0191085782282
389000,559.2539589805548
390000,557.2989777528602
391000,452.44712872872424
392000,633.2541651145518
393000,616.2244365410006
394000,498.7907399345243
395000,598.316603828563
396000,558.5153283434583
397000,597.9673618376803
398000,614.6725575519683
399000,561.0968697480893
400000,555.4906458048472
401000,639.3649884158974
402000,600.0014348346289
403000,572.1325710869278
404000,653.3474869923319
405000,655.2564423213644
406000,478.6767422798167
407000,634.3839553768418
408000,686.4067023330584
409000,530.089008111453
410000,550.7220728066291
411000,610.8595815492939
412000,592.3897457689884
413000,622.3509406297446
414000,620.4210270750032
415000,555.3480276632196
416000,636.1080144112773
417000,611.3682705563181
418000,737.3723268239012
419000,606.8394162855575
420000,585.7254806356516
421000,619.1314295468276
422000,542.8177020516918
423000,598.5398094048286
424000,676.2090350872686
425000,622.7299249823652
426000,601.2684391348054
427000,661.2604766048194
428000,641.261786936051
429000,672.0926289873211
430000,557.6167051649583
431000,676.4752950207082
432000,739.8283968191602
433000,625.7135230498251
434000,538.6922142594217
435000,588.3457709656093
436000,649.939072590484
437000,605.1569721999368
438000,613.2704845793505
439000,722.1552727674255
440000,571.063629083432
441000,615.9220561482989
442000,648.2408173989523
443000,631.6587324085912
444000,636.7367980235135
445000,663.2777225181828
446000,586.0140508051176
447000,624.2917446430104
448000,651.3842568128855
449000,697.6095394086327
450000,624.2751475316092
451000,620.1072600456207
452000,696.3629390337491
453000,637.6782998378143
454000,684.5451326667634
455000,555.2470518067892
456000,697.1063056113242
457000,685.9928892978769
458000,658.9264585290708
459000,627.341751310293
460000,733.2350954073669
461000,687.7453566551361
462000,710.2123419248185
463000,635.8968506720443
464000,666.2462816084209
465000,643.3240995807844
466000,693.965892854032
467000,680.0892222129884
468000,731.9545371756474
469000,711.3104009369848
470000,584.6813110768586
471000,642.459099438
472000,686.7310326051614
473000,723.102906900772
474000,664.8305216477638
475000,694.7123807244044
476000,627.3031387276227
477000,682.3891930877536
478000,628.3465538641996
479000,621.5536651199295
480000,708.991220214234
481000,736.9320744534803
482000,703.5906491375961
483000,677.7614172659169
484000,666.0922134011946
485000,690.497930753252
486000,623.7491561858719
487000,749.3447125591638
488000,685.9358726542886
489000,728.0174255753852
490000,657.8758890415153
491000,743.0522524537625
492000,746.221735488142
493000,659.7781889402634
494000,587.138627689051
495000,756.0122217585373
496000,723.6989081033792
497000,648.925770215047
498000,670.7507480268928
499000,717.5321183546346
500000,686.9716131870645
501000,754.2616487717468
502000,701.3372611915869
503000,702.6086642093128
504000,730.1544679022762
505000,714.4220252483271
506000,712.7317418154946
507000,761.7396962914597
508000,585.9706061539077
509000,700.5080666633285
510000,775.7461143510168
511000,683.293895535692
512000,733.1530387547652
513000,724.7291093235239
514000,672.5709757187968
515000,735.9408438025118
516000,755.7425428526768
517000,818.7389163696797
518000,669.2039573818174
519000,549.0296943991898
520000,731.8675589796374
521000,614.4612230846107
522000,764.0822627049191
523000,675.980278417301
524000,751.8888676377692
525000,792.2359836656701
526000,741.228081096439
527000,617.5167985906636
528000,797.654964392414
529000,699.896333393741
530000,719.1260156152073
531000,740.6851684789433
532000,703.5452083982888
533000,745.3671681973689
534000,739.5610129717461
535000,645.0687533378604
536000,776.42096940492
537000,797.5399796718494
538000,568.9642426994194
539000,636.736819524614
540000,741.2120431506964
541000,768.938837587801
542000,705.7753848593217
543000,779.9826245564651
544000,698.9039826320046
545000,784.8065487194898
546000,743.9495690460649
547000,692.6323568881326
548000,666.7189257488066
549000,761.6001370496464
550000,745.3092854070293
551000,743.0957305678875
552000,776.8644822409763
553000,678.0674247761187
554000,704.484365195534
555000,855.4365834598847
556000,700.5961482073598
557000,851.4010413244566
558000,817.3191112783198
559000,723.6155568747859
560000,735.0502859464848
561000,664.3303584034103
562000,658.8405503946595
563000,810.2540905913816
564000,663.8315014864447
565000,775.3856859118393
566000,801.3995940408588
567000,863.3568230781686
568000,731.4491454212445
569000,800.2315328883278
570000,789.6408022749624
571000,719.1426771498506
572000,868.9043939517903
573000,734.4202959171694
574000,835.9946942543245
575000,749.2189554619833
576000,731.226891727955
577000,805.248409741222
578000,738.1776829812281
579000,752.2402330243964
580000,787.548491799205
581000,713.9123857321098
582000,750.2491694738396
