step,reward
1000,-1082.7214074737014
2000,-990.9464727625507
3000,-1022.8169797447345
4000,-866.4563490414503
5000,-1021.9538954454761
6000,-946.445511483657
7000,-996.3098174650981
8000,-742.7649136120403
9000,-1137.933994323774
10000,-1030.4260576540942
11000,-990.2403624801824
12000,-957.5182725177552
13000,-857.6679845769173
14000,-956.8731784415721
15000,-887.8353422291017
16000,-900.7304460291554
17000,-972.3868987791371
18000,-874.1125720987322
19000,-1000.5600461793854
20000,-953.9377813808795
21000,-878.2498186204798
22000,-929.1335450163413
23000,-805.5509263506636
24000,-859.8265979133241
25000,-1013.9858608860518
26000,-851.1464373900704
27000,-799.904720017904
28000,-819.6097208977802
29000,-898.7398866618742
30000,-834.430256131615
31000,-761.8729203514989
32000,-676.7009888394318
33000,-851.5059615920995
34000,-893.9560556828126
35000,-948.3158375227154
36000,-789.6925395641961
37000,-817.9548184148636
38000,-815.3538780107206
39000,-893.6883035140997
40000,-811.2538711441142
41000,-858.2811042666692
42000,-764.4657766160555
43000,-791.1910971736323
44000,-734.8933802055078
45000,-849.7481676446558
46000,-790.5294168680496
47000,-670.2146053627544
48000,-836.8247168908512
49000,-813.4482366801283
50000,-716.3045160777697
51000,-722.1867061492517
52000,-793.3504376710159
53000,-694.84100342482
54000,-636.8892339715899
55000,-698.4411060643399
56000,-642.5499129931608
57000,-767.3577354152949
58000,-882.5503364665753
59000,-789.1994442564549
60000,-694.2939826437673
61000,-863.5951730296214
62000,-591.7596192955143
63000,-616.597279403447
64000,-767.3792534540553
65000,-775.6171605353256
66000,-707.1206654916143
67000,-766.0364716397324
68000,-647.0707629780144
69000,-760.6661680531184
70000,-663.4457901643325
71000,-654.6925642650557
72000,-560.5699771720383
73000,-697.3472999868594
74000,-677.1552936155107
75000,-745.1644072751457
76000,-623.8179454168449
77000,-724.9056262358889
78000,-700.1132648051691
79000,-634.6978349306119
80000,-635.0683948683416
81000,-722.0373328229801
82000,-591.6023526724953
83000,-769.4852696900556
84000,-626.9597302854307
85000,-748.4647559028322
86000,-562.4434234519954
87000,-600.0534262069057
88000,-634.9604292047676
89000,-709.1462063819258
90000,-797.4911759705288
91000,-692.9364108321446
92000,-654.7220292735144
93000,-614.6499898295932
94000,-601.4653439220533
95000,-612.0260711152765
96000,-541.6703745126633
97000,-645.4296945582153
98000,-651.510272561268
99000,-625.6825010194992
100000,-587.0619782976263
101000,-624.4734888732856
102000,-684.801786022264
103000,-541.607217647339
104000,-573.6749210542658
105000,-544.1195063494404
106000,-607.094760634393
107000,-578.6872462795362
108000,-463.436072506617
109000,-497.84967071657024
110000,-650.6956650146549
111000,-527.4360833499775
112000,-626.6492803058183
113000,-452.48610774222686
114000,-547.8226386410818
115000,-525.7809949605869
116000,-588.2498032913664
117000,-577.9772120815005
118000,-449.74593424935796
119000,-512.6892887759607
120000,-516.9495498828238
121000,-434.7148538767656
122000,-479.4844132788552
123000,-503.2493587782756
124000,-540.7676827192514
125000,-534.5131913966527
126000,-505.86036284252083
127000,-552.4147732843211
128000,-545.3846159025303
129000,-501.85501977335264
130000,-489.4709021841333
131000,-496.4355250238391
132000,-537.5193065334214
133000,-422.92403593342243
134000,-486.0997621923734
135000,-470.56114404600515
136000,-524.421985668723
137000,-542.4971638132484
138000,-412.4107881902023
139000,-401.38721064577095
140000,-434.96188421492405
141000,-454.2751283231107
142000,-509.7292434654803
143000,-409.8508962477047
144000,-435.28716887572244
145000,-478.7646739517123
146000,-406.9709001807817
147000,-460.63454043406745
148000,-400.0390158679993
149000,-479.24891764076335
150000,-384.44500619098005
151000,-380.52923476356256
152000,-364.1040030022991
153000,-383.40255370103796
154000,-335.6365555626058
155000,-421.7151054114661
156000,-430.7643929834639
157000,-422.30871376649816
158000,-359.1307907293724
159000,-410.72958286331857
160000,-443.32906493515264
161000,-381.0832126256121
162000,-383.99267039150936
163000,-412.6047541876208
164000,-369.6708290856855
165000,-428.60579266486246
166000,-323.2410317943163
167000,-360.54378398263276
168000,-412.5849004940734
169000,-402.8907591855603
170000,-336.14238155480103
171000,-301.66562603363275
172000,-374.58246144779537
173000,-291.32608641043544
174000,-395.30285343331366
175000,-321.8171165118984
176000,-327.0722745225661
177000,-344.13049608886786
178000,-406.44916718749994
179000,-326.0437376017254
180000,-370.97385787238784
181000,-329.6328423810229
182000,-291.9939771350104
